,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title and commencement,1
1,1,SECTIONS,definition,1
2,2,SECTIONS,establishment of special provision with respect to the state of jam mu and l provision with respect to state of,1
3,3,SECTIONS,effect of establishment of university,1
4,4,SECTIONS,object of university,1
5,5,SECTIONS,power of university,1
6,6,SECTIONS,university open to all caste creed race or class,1
7,7,SECTIONS,visitor of university,1
8,8,SECTIONS,officer of university,1
9,9,SECTIONS,chancellor,1
10,10,SECTIONS,vice chancellor,1
11,11,SECTIONS,pro vice chancellor,1
12,12,SECTIONS,dean of school,1
13,13,SECTIONS,registrar,1
14,14,SECTIONS,finance officer,1
15,15,SECTIONS,controller of examination,1
16,16,SECTIONS,librarian,1
17,17,SECTIONS,other officer,1
18,18,SECTIONS,authority of university,1
19,19,SECTIONS,the court,1
20,20,SECTIONS,executive,1
21,21,SECTIONS,academic council,1
22,22,SECTIONS,board of study,1
23,23,SECTIONS,finance committee,1
24,24,SECTIONS,other authority of university,1
25,25,SECTIONS,power to make statute,1
26,26,SECTIONS,statute how to be make,1
27,27,SECTIONS,power to make ordinance,1
28,28,SECTIONS,regulation,1
29,29,SECTIONS,annual report,1
30,30,SECTIONS,annual account,1
31,31,SECTIONS,return and information,1
32,32,SECTIONS,condition of service of employee,1
33,33,SECTIONS,procedure of appeal and arbitration in disciplinary case against student,1
34,34,SECTIONS,right to appeal,1
35,35,SECTIONS,provident and pension fund,1
36,36,SECTIONS,dispute a to constitution of authority and body,1
37,37,SECTIONS,fill of casual vacancy,1
38,38,SECTIONS,proceeding of authority or body not invalidate by vacancy,1
39,39,SECTIONS,protection of action take in good fa it h,1
40,40,SECTIONS,mode of proof of university record,1
41,41,SECTIONS,power to remove,1
42,42,SECTIONS,statute ordinance and regulation to be publish in the official gazette and to be laid before parliament,2
43,43,SECTIONS,transitional provision,2
44,44,SECTIONS,amendment of act of,2
45,45,SECTIONS,amendment of president act of,2
46,46,SECTIONS,repeal and saving st he first schedule the second schedule central university act no of march act to establish and incorporate university for teach and research in the various state sand to provide for matter connect therewith or incidental there tobe it enact by parliament in the sixtieth year of the republic of in di a a follow,2
47,47,SECTIONS,short title and commencement this act may be call the central university act it shall be deem to have come in to force on the th day of,3
48,48,SECTIONS,definition in this act and in all statute make hereunder unless t he context a academic council mean the academic council of the academic staff mean such category of staff a be designate a academic staff by board of study mean the board of study of a department of the college mean a college maintain by the chancellor vice chancellor and pro vice chancellor mean respectively the chancellor vice chancellor and pro,3
49,49,SECTIONS,vice chancellor of the university f court mean the court of the department mean a department of study and include s a cent re of stud ie sh distance education system mean the system of impart education through any mean of communication such a broad casting telecast inter net correspondence course seminar or the combination of any two or more such mean si employee mean any person appoint by the university and include teacher and other staff of the u j executive,3
50,50,SECTIONS,council mean the executive council of the hall mean a unit of residence or of corporate life for the student of the university or of a college or an institution maintain by the institution mean an academic institution not be a college maintain by the principal mean the head of a college or an institution main tai ne d by the university and include s where there be no principal the person for the time be duly appoint to act a principal and in the absence of the,3
51,51,SECTIONS,principal or the act principal a vice principal duly appoint a regulation mean the regulation make by any authority of the university under this act for the time be in school mean a school of study of the statute and ordinance mean respectively the statute and the ordinance of the university for the time be in teacher of the university mean professor associate professor assistant professor and such other person a may by appoint for impart,3
52,52,SECTIONS,instruction or conduct research in the university or in any college or institution maintain by the y and be designate as teach ers by the ordinance university mean a university establish and incorporate a a university under this,3
53,53,SECTIONS,establishment of er si ti es guru in the state and doctor go ur in the state of established under the ad hi ni yam act of nan dan university in the state of ut ta rakh and establish under the state university president act of shall be establish a body corporate under this act by the same name of guru,4
54,54,SECTIONS,doctor and nan dan university the headquarters of guru wa vidya la ya doctor go ur nan dan university shall be at sa gar and the jurisdiction of guru doctor go ur nan dan university shall ex tend to the and of the state of,4
55,55,SECTIONS,the sa gar pan na and of the state of and the cha mo li de hard war and ut tarkashi t of the state of ut ta rakh and there sh al l be establish the university in the various state a body corporate by such nam es and territorial jurisdiction a specify in the first schedule to this the headquarters of each of the university refer in sub section shall be such a may,4
56,56,SECTIONS,by the central government by notification in the official the first chancellor the first vice chancellor and the first member of the court the and the academic council of e ach university and all person who may hereafter become or member so long a they continue to hold such office or membership be hereby constitute abody corporate by the name of the the university shall have perpetual succession and a common seal and shall sue and be sue by the say,4
57,57,SECTIONS,special provision with respect to the state of jam mu and ka sh mir the central university of jam mu and ka sh mir establish under sub section of section shall be know a the central university of ka sh mir and it territorial jurisdiction shall be limited to the ka sh mir division of the state of jam mu and there shall be establish a university which shall be a body corporate to be know a the central university of jam mu have it territorial jurisdiction extend to the jam mu division of th estate of jam mu and,4
58,58,SECTIONS,all asset and liability of the central university of jam mu and ka sh mir in respect of the territory of jam mu division of the state of jam mu and ka sh mir shall stand transfer to be the asset sand liability of the central university of anything do or any action en by the university of jam mu and ka sh mir in respect of the territory of jam mu division of the state of jam mu and ka sh mir shall be deem to have be do or taken by the central university of any suit or legal proceeding institute or con ti nu,4
59,59,SECTIONS,by or against the central university of jam mu and ka sh mir in respect of the territory of jam mu division of the state of jam mu and ka sh mir shall be deem to have be institute or continued by or against the central university of jam mu special provision with respect to state of the central university of under sub section of section shall be know a the central university of south it territorial jurisdiction extend to the territory in the south of river gang es in the state,4
60,60,SECTIONS,a specify in the first schedule to this there shall be establish a university which shall be a body corporate to be know a the,4
61,61,SECTIONS,in by act of s,4
62,62,SECTIONS,section shall stand insert e to be notify by act of s central university have it territorial is diction extend to the territory in the north of the river gang es in the state of a specify in the first schedule to this act,4
63,63,SECTIONS,effect of establishment of university on and from the of commencement of this act a any reference to guru doctor go ur nan dan university in any contract or other instrument shall a a reference to guru doctor go ur a and nan dan university respectively establish under this all property movable and immovable of or belonging to guru,5
64,64,SECTIONS,go ur and nan dan university shall vest in guru doctor go ur or hem vat in an dan university a the case may be establish under this all right and liability of guru ala ya doctor and nan dan university shall be transfer to and be the right and liability of guru doctor,5
65,65,SECTIONS,and nan dan university respectively established under this every person employ by guru doctor and nan dan university immediately before the commencement of this act shall hold his office or service in guru go ur and nan dan university respectively established under this act by the same tenure at the same re mun er at ion,5
66,66,SECTIONS,and upon the same term and con di ti ons and with the same right and privilege a to pension leave gratuity provident fund and other matter a he would have the same if this act have not be enact and shall continue to do so unless and u his employment be terminate or until such tenure remuneration and term and con di ti ons a re duly alter by the st a tut es provided that if the alteration so make be not acceptable to such employee his employment maybe terminate by the university i n accordance with the term of the contract,5
67,67,SECTIONS,with the employee or if no provision be make therein in this behalf on payment to him by the university of compensation equivalent to three month remuneration in case of permanent employee and one in the case of other far that every person employ before the commencement of this act pending the execution of a contract under section shall be deem to have be appoint in accordance with the provision of a contract consistent with the provision of this act and the st a tut es provided also,5
68,68,SECTIONS,that any reference by whatever form of wo to the vice chancellor and pro vice cell or of guru vidya la ya doctor go ur a ya nan dan university in any law for the time be in force or in any instrument or other document shall be construe a a reference to th e vice chancellor and the pro vice chancellor of guru doctor go ur nan dan university a the case may be establish under this,5
69,69,SECTIONS,a c te the vice chancellor s of guru and doctor appoint under the provision of the act of and the vice chancellor of university appoint under the provision of the ut tar state dent act of shall be deem to have be appoint a the vice chancellor under this act and sha hold office for a period of three month or till,5
70,70,SECTIONS,such time the first vice chancellor be appoint under section of the act whichever be ear lier all college institution school or and department affiliate to or admit to of or maintain by guru doctor and nan dan u shall stand affiliate to or admitted to the privilege of or maintain by guru doctor and nan dan university respectively established under this act,5
71,71,SECTIONS,object s of university the object s of the university shall be to disseminate and advance knowledge by provide instructional and research facility in such branch of learn a it may deem fit to make special provision s for integrate course in humanity social science science and technology in it educational p to take appropriate measure for pro mo ting innovation in teaching learn process and inter disciplinary study and research to educate and train man power for the development of the country to establish,6
72,72,SECTIONS,linkage with industry for the pro mot ion of science and technology and to pay special attention to the improvement of the social and economic condition and welfare of the people their intellectual academic and cultural dev el,6
73,73,SECTIONS,power of university the university shall have the follow power namely i to provide for instruction in such branch of learn like natural science social science sh um ani ti es engineering technology and medicine a the university may from time to time determine and to make provision s for research and for the advancement and dissemination to grant subject to such condition a the university may determine diploma or and or other academic distinction on person on,6
74,74,SECTIONS,the basis of examination evaluation or any other method of test and to withdraw any such diploma certificate deg re es or other academic distinction for good and sufficient to organ is e and to undertake extramural study training and extension to honorary degree or other distinction in the ma by the statute v to provide facility through the distance education system to such person a it to institute principalship professorship associate professorship,6
75,75,SECTIONS,assistant professorship sand other teach or academic position require by the un and to appoint person professorship s associate professorship s assistant professorship or other teach or academic to re cog ni se an institution of high learn for such purpose a the university may determine a to withdraw such recognition to appoint person work in any other university or academic institution include those loca ted outside the country a teacher of the university for a,6
76,76,SECTIONS,specify to create administrative ministerial and other post and to make appointment s there tox to cooper ate or collaborate or associate with any other university or authority or institution of higher learn include those locate outside the country in such manner and for such purpose as the university may determine xi to establish such cent er and laboratory or other unit for research and instruction a be in the opinion of the university necessary for the furtherance of it to,6
77,77,SECTIONS,institute and award fellowship scholarship s studentship medal and to establish and maintain college institution and to make provision for research and advisory service and for that purpose to enter into with other institution industrial or other or ga ni sa ti ons a the university may to or ga ni se and conduct refresher course workshop seminar and other pro gramme for teach ers and other academic to appoint on contract or otherwise visit,6
78,78,SECTIONS,professor emeritus profess or consultant and such other person who may contribute to the advancement of the object of the to autonomous status on a college or an institution or a department a the case maybe in accordance with the statute to determine standard of admission to the university which may include examination evaluation or any other method of to demand and receive payment of fee and other to supervise the residence of the student of the university and,6
79,79,SECTIONS,to make arrangement for pro mo ting t heir health and general welfare to lay down condition of service of all category of employee include their code to regulate and enforce discipline among the student and the employee and to take such disciplinary measure in this regard a may be deem by the university to be to make arrangement for promote the health and general welfare of the to receive benefaction donation and gift and to acquire hold and manage and to dispose,6
80,80,SECTIONS,of with the previous approval of the central government any property mo or immovable include trust and endowment property for the purpose of the to borrow with the previous approval of the central government on the security of the property of the university money for the purpose of the to do all such other act and thing a may be necessary incidental or conducive to the attainment of all or any of it in exercise it power refer to in sub section it shall be,6
81,81,SECTIONS,the en de avo ur of the university to maintain an all character and high standard of teach and research and the university shall among other measure which may be necessary for the say purpose take in particular t he following me a sures namely i admission of student and recruitment o f faculty shall be make on all ba si admission of student shall be make on merit either through common entrance individually by the university or in combination with other university or on the basis,6
82,82,SECTIONS,obtain in the qualify examination in such course where t he intake of student be interuniversity mobility of faculty with portable pension and protection of seniority shall be encourage div semester system evaluation and choice base credit system shall be introduce dand the university shall enter into agreement with other university and academic institution for credit transfer and joint degree innovative course and pro gramme s of study shall be introduce with a provision for periodic,6
83,83,SECTIONS,review and active participation of student shall be ensure in all academic activity of the evaluation of teach accreditation shall be obtain from the national assessment and accreditation council or any other accredit a g at the national level shall be introduce with an effective management information system,6
84,84,SECTIONS,university open to all caste creed race or class the university shall be open to the person of either sex and of whatever caste creed race or class and it shall not be lawful for the university to adopt or impose on any person any test whatsoever of religious belief or prof es si on in order to entitle him to be a p pointed a a teacher of the university or to hold any other office therein or to be admit a a student in the university or to graduate thereat or to enjoy or exercise any privilege that nothing in this,7
85,85,SECTIONS,section shall be deem to prevent the university from make special provision for the employment or admission of woman person with disability or of person belonging to the weak er section of the society and in particular of the schedule cast e the schedule tribe and the other socially and educationally backward class of far that no such special provision shall be make on the ground of domicile,7
86,86,SECTIONS,visitor of university the president of shall be the r of the the visitor may from time to time appoint one or more person to review the work and progress of the university include college and institution maintain by it and to submit a report thereon and upon receipt of that report the visitor may after obtain the view of the executive thereon through the vice chancellor take such action and issue such direction a he necessary in respect of any of the matter dealt,8
87,87,SECTIONS,with in the report and the shall abide by such action and be bound to comply with such d the visitor shall have the right to cause an inspection to be make by such person or person a he may direct of the university it building library laboratory and e and of any college or institution maintain by the university and also of the examination teach and other work con ducted or do by the university and to cause an inquiry to be make in like manner in respect of any matter connected with th e,8
88,88,SECTIONS,administration or finance of the university college or the visitor shall in every matter refer to in sub section give notice of his intention to cause an inspection or inquiry to be make to the university and the university shall have the right to make such representation s to the visitor a it may consider after consider the representation if any make by the university the visitor may cause to be made such inspection or inquiry a be refer to in sub section where any,8
