,Unnamed: 0,Title,Paragraph Text,Page No
0,0,PRELIMINARY,short title extent and commencement this act may be call the collection of statistics act it to the whole of in di a provided that it shall apply to the state of jam mu and ka sh mir in so far a it rel ates to statistics pertaining to matter fall under any of the entry specify in list i union list or list list in the seventh schedule to the constitution a applicable to that it shall come into force on such a the central government may by notification in the official gazette appoint,3
1,1,PRELIMINARY,definition in this act unless the context otherwise require sa agency include a person or person engage by the appropriate government directly orby out source for collection of appropriate government mean si any ministry or department in the central government any ministry or department in a state government or union territory administration any local government that be to say panchayat or municipality a the case may be in relation to the collection of statistic under a direction,3
2,2,PRELIMINARY,issue by it under section informant mean any person who supply or be require to supply statistical information and include a owner or occupier or person in charge or his a ut ho rise representative in respect of per sons or a firm register under the in dian partnership act of or a register under any society act or a company register under act of or a society register under the society registration act of or any association,3
3,3,PRELIMINARY,re cog ni se or register under any law for the time be in force information schedule mean any book document form card tape disc or any storage media on which information require be enter or record or be require to be enter or re corded for statistical purpose under this nodal officer mean the officer designate a a nodal officer under subsection of section mean by rule make under this sample mean a statistical procedure by which information relate to a,3
4,4,PRELIMINARY,particular field of inquiry be derive by apply statistical technique to information obtain in respect of a proportion of the total number of person or unit concerned relevant to the field of inquiry,3
5,5,PRELIMINARY,sub by act of s,3
6,6,PRELIMINARY,june notification no so date june see gazette of extraordinary part sec,3
7,7,PRELIMINARY,in by act of s g statistical survey mean a census or a survey whereby information be collect from all the informant in the field of inquiry or from a sample thereof by an appropriate government under this act or any other relevant act wholly or primarily for the purpose of process ing and sum ma rising by appropriate statistical procedure sh statistic mean statistic derive by collect and use statistic specially in or for large quantity or number by appropriate government,3
8,8,PRELIMINARY,from statistical survey sad ministrative and registration record and other form and paper the statistical analysis of which be whether in a publish or unpublished for mi statistic officer mean any officer appoint under section for the purpose of any direction issue under section of this act chapter of statistic,3
9,9,PRELIMINARY,collection of statistic the appropriate government may by notification in the official gazette direct that the statistic on economic demographic social scientific and shall be collect through a statistical survey or otherwise and thereupon the provision of this act shall apply in relation to those statistics provided tha ta nothing contain in this section shall be deem to a ut ho rise a state government or union territory administration or any local government to issue any direction with respect to,4
10,10,PRELIMINARY,the collection of statistic relate to any matter fall under any of the entry specify in list list in the seventh schedule to the constitution orb where the central government have issue any direction under this section for the collection of statistic relate to any matter no state government or union territory administration or any local government shall except with the previous approval of the central government issue any similar direction for so long a the collection of such statistic by the central government,4
11,11,PRELIMINARY,remain to be complete orc where a state government or union territory administration or any local government a direction under this section for the collection of statistic relate to any matter the central government shall not issue any similar direction for so long a the collection of such statistics by the state government remain to be complete except in case where such statistic shave to be collect with reference to two or more state or union nodal officer the central government or a state,4
12,12,PRELIMINARY,government or union territory administration shall designate one of it officer a a nodal officer for the purpose of statistic sunder this the nodal officer shall and supervise such statistical activity in the central government or the state government or union territory administration a the case may be in which he be designate and shall exercise such other power and perform such other duty a maybe,4
13,13,PRELIMINARY,power of appropriate government to appoint statistic officer the appropriate government may appoint or cause to appoint an officer to be the statistic officer for any geographical unit for the purpose of collect any statistic direct by the appropriate government may appoint any agency or person work in such agency to take or aid in or supervise the collection of the statistic within any specify geographical unit and such agency or person when so appoint shall be bound to serve the,4
14,14,PRELIMINARY,appropriate government may employ on contract basis any agency or company or organ is at ion or association or person on such term and condition and on such safeguard a may for the purpose of collect the statistic direct by it,4
15,15,PRELIMINARY,in by act of s the appropriate government may delegate to any statistic officer a it think fit the power of appoint ing agency or person work in such agency or employ on contract basis any agency or company or organ is at ion or association of person on it by subsection and the geographical unit for which such statistic officer be the appropriate government may by order specify the form the particular require or the interval within which and,4
16,16,PRELIMINARY,the statistic officer to whom the statistical information by the be the appropriate government may by order publish in the official gazette delegate to any statistics officer a it think fit any power under subsection for the purpose of the collection of statistic under a direction issue by it under section,4
17,17,PRELIMINARY,power of statistic officer to call for information the statistic officer may for the purpose of collection of statistic on any specify subject in any geographical unit for which the say officer was appointe da serve or cause to be serve on any informant a notice in write ask him to furnish the information specify under subsection of section or cause a information schedule to be given to any informant for the purpose of it be fill up orb cause all question relate to the subject to be ask from any,5
18,18,PRELIMINARY,informant orc seek information through tele or telephone or em ail or in any other electronic mode or in a combination of different mode for different set of information so specify,5
19,19,PRELIMINARY,duty of informant the informant who be ask to furnish any information under of this act shall be bound to furnish the information so ask in the manner to the best of knowledge or belief and in case where only a portion of a particular class or group of per sons or unit be ask to furnish information because of any sample procedure it shall not be a defence in failure on the part of any informant to furnish that information if so ask,5
20,20,PRELIMINARY,all agency to assist every agency shall render such help and assistance and furnish such information to the statistic officer or a person or an agency a ut ho rise by him in write a he may require for the discharge of his function and shall make available for inspection and examination of such record plan and other document a may be necessary,5
21,21,PRELIMINARY,right of access to record or document the statistic officer or any person a ut ho rise by him in write in this behalf shall for the purpose of collection of any statistic under this act have access to any relevant record or document in the possession of any informant require to furnish any information under this act and may enter at any reasonable time any premise where he believe such record or document be kept and may inspect or take copy of relevant record or document or ask any question necessary for obtain any information require to be furnish under this act chapter of information in certain case and restriction of their use,5
22,22,PRELIMINARY,security of the statistic officer or any person or agency a ut ho rise dunder this act shall for statistical purpose use any information furnish under section in such manner a may be no person other than a person engage in the work of collection of statistic under this act or preparation of statistic resultant to such collection shall be permit to see any information schedule or any answer to a question ask except for the purpose of a prosecution under this no information contain,5
23,23,PRELIMINARY,in any information schedule and no answer to any question as ked shall except for the purpose of a prosecution under this act be separately publish or disclosed without suppress the identification of informant to any agency,5
24,24,PRELIMINARY,sub by act of s for subsection all statistical information publish by any agency shall be arrange in such a manner so a to prevent any particular become identifiable by any person other than the informant by whom be supply a the particular relate to the informant who supply it even through the process of elimination that informant have consent to their publication in that manner orb their publication in that manner could not reasonably have,5
25,25,PRELIMINARY,be fore seen by the concerned agency or any employee for the purpose of subsection the central government may make such rule or make such arrangement a it may consider necessary,5
26,26,PRELIMINARY,appropriate government a ut ho rise to disclose certain information notwithstanding contain in section of this act the appropriate government may disclose the following information na mel ya information supply by informant in respect of which disclosure be consent to in writing by the informant or by any person a ut ho rise by the say information otherwise available to the public under any act or a a public information in the form of an index or list of the name and address of informant together with the classification if any allot to them and the number of person engage,6
