,Unnamed: 0,Title,Paragraph Text,Page No
0,0,,short title and commencement this act may be call the or is sa alteration of name act it shall come into force on such a the central government may by notification in the official gazette appoint,1
1,1,,definition in this act unless the context otherwise require a appoint day mean the date appoint under sub section of section for the coming into force of this appropriate government mean a respect a law relate to a matter enumerate in list the seventh schedule to the constitution the central government and a respect any other law the state law include any enactment ordinance regulation order bye law rule scheme notification or other instrument ing the force of law in the whole or any part of the state of or is sa,1
2,2,,alter at ion of name of state of or is sa a from the appoint day the state of or is sa shall beknown a the state of od is ha,1
3,3,,amendment of article in article of the constitution in clause in the proviso for the word or is sa the word od is ha shall be substitute,1
4,4,,amendment of article in article in clause for the word or is sa the word od is ha shall be substitute,1
5,5,,amendment of fir t schedule to the constitution in the first schedule to the constitution under the head i the state in entry under the column name for the word or is sa the word od is ha shall be substitute,1
6,6,,amendment of h schedule to the constitution in the fourth schedule to the constitution under the head table in entry in the second column for the word or is sa the word od is ha shall be substitute,1
7,7,,power to adapt law for the purpose of give effect to the alteration of the name of th estate of or is sa by section the appropriate government may before the expiration of one year from the a p pointed day by order make such adaptation and modification of any law make before the a p pointed day whether by way of repeal or amendment a may be necessary or expedient and thereupon every such law shall have effect subject to the adaptation and modification so nothing in sub section shall be deem to prevent a,1
8,8,,competent legislature or other competent authority from repeal or amend any law adapt or modify by the appropriate government under the say sub section,1
9,9,,power to construe law notwithstanding that no provision or insufficient provision have been made under section for the adaptation of a law make before the appoint day any court tribunal or authority require or empower to enforce such law may construe the law in such manner without affecting the substance a may be necessary or proper in regard to the matter before the court tribunal or authority,1
10,10,,legal proceeding where immediately before the appoint day any legal proceeding are pending to which the state of or is sa be a party the state of od is ha shall be deem to have been substituted for the state of or is sa in those proceeding,1
11,11,,novem ber notification no date novem ber see gazette of in di a extraordinary part s i,1
