,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,0,PRELIMINARY,"1.. Short title, extent and commencement .—(1)) This Act may be called the Black Money(Undisclosed Foreign Income and Assets) and Imposition of Tax Act, 2015.(2)) It extends to the whole of India.(3)) Save as otherwise provided in this Act, it shall come into force on the 1st day of April, 2016.",4
1,1,1,1,PRELIMINARY,"2.. Definitions. —In this Act, unless the context otherwise requires,—(1)) “Appellate Tribunal” means the Appellate Tribunal constituted under section 252 of theIncome-tax Act;(2)) “assessee” means aperson, being aresident other than not ordinarily resident in India within the meaning of clause ( 6)) of section 6of the Income-tax Act, by whom tax in respect of undisclosed foreign income and assets, or any other sum of money, is payable under this Act and includes every person who is deemed to be an asses see in default under this Act;(3))",4
2,2,2,2,PRELIMINARY,"“assessment” includes reassessment;(4)) “assessment year” means the period of twelve months commencing on the 1st day of Aprilevery year;(5)) “Board” means the Central Board of Direct Taxes constituted under the Central Boards of Revenue Act, 1963 (54 of 1963);(6)) “Income-tax Act” means the Income-tax Act, 1961 (43 of 1961);(7)) “participant” means—(a)) apartner in relation to afirm; or(b)) amember in relation to an association of persons or body of individuals;(8)) “prescribed” means prescribed by rules made under this Act;(9)) “previous year”",4
3,3,3,3,PRELIMINARY,"means—(a)) the period beginning with the date of setting up of abusiness and ending with the date of the closure of the business or the 31st day of March following the date of setting up of suchbusiness, whichever is earlier;5((b)) the period beginning with the date on which anew source of income comes into existence and ending with the date of closure of the business or the 31st day of March following the date on which such new source comes into existence, whichever is earlier;(c)) the period beginning with the 1st day of the financial year and",4
4,4,4,4,PRELIMINARY,"ending with the date of discontinuance of the business other than business referred to in clause ( b)) or dissolution of an unincorporated body or liquidation of acompany, as the case may be; or(d)) the period of twelve months commencing on the 1st day of April of the relevant year in any other case,and which immediately precedes the assessment year.(10) “resident” means aperson who is resident in India within the meaning of Section 6of theIncome-tax Act;(11) “undisclosed asset located outside India” means an asset (including financial interest",4
5,5,5,5,PRELIMINARY,"in anyentity) located outside India, held by the asses see in his name or in respect of which he is abeneficialowner, and he has no explanation about the source of investment in such asset or the explanation given by him is in the opinion of the Assessing Officer unsatisfactory;(12) “undisclosed foreign income and asset” means the total amount of undisclosed income of anassessee from asource located outside India and the value of an undisclosed asset located outsideIndia, referred to in section 4,, and computed in the manner laid down in",4
6,6,6,6,PRELIMINARY,Section 5;;(13) “unincorporated body” means—(a)) afirm;(b)) an association of persons; or(c)) abody of individuals;(14) “value of an undisclosed asset” shall have the meaning assigned to it in sub-section ( 2)) of Section 3;;(15) all other words and expressions used herein but not defined and defined in the Income-taxAct shall have the meanings respectively assigned to them in that Act.CHAPTER IIBASIS OF CHARGE,4
7,7,7,7,PRELIMINARY,"3.. Charge of tax. —(1)) There shall be charged on every asses see for every assessment year commencing on or after the 1st day of April, 2016, subject to the provisions of this Act, atax in respect of his total undisclosed foreign income and asset of the previous year at the rate of thirty per cent. of such undisclosed income and asset:Provided that an undisclosed asset located outside India shall be charged to tax on its value in the previous year in which such asset comes to the notice of the Assessing Officer.(2)) For the purposes of this",5
8,8,8,8,PRELIMINARY,"section, “value of an undisclosed asset” means the fair market value of an asset (including financial interest in any entity) determined in such manner as may be prescribed.64.. Scope of total undisclosed foreign income and asset. —(1)) Subject to the provisions of this Act,the total undisclosed foreign income and asset of any previous year of an asses see shall be,—(a)) the income from asource located outside India, which has not been disclosed in the return of income furnished within the time specified in Explanation 2to sub-section ( 1)) or",5
9,9,9,9,PRELIMINARY,"undersub-section ( 4)) or sub-section ( 5)) of section 139 of the Income-tax Act;(b)) the income, from asource located outside India, in respect of which areturn is required to be furnished under section 139 of the Income-tax Act but no return of income has been furnished within the time specified in Explanation 2to sub-section ( 1)) or under sub-section ( 4)) or sub-section ( 5)) of section 139 of the said Act; and(c)) the value of an undisclosed asset located outside India.(2)) Notwithstanding anything contained in sub-section ( 1)), any variation",5
