,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,0,SECTIONS,"1.. Short title, extent and commencement .",1
1,1,1,1,SECTIONS,2.. Definitions.CHAPTER II,1
2,2,2,2,SECTIONS,3.. Aadhaar number.,1
3,3,3,3,SECTIONS,4.. Properties of Aadhaar number.,1
4,4,4,4,SECTIONS,5.. Special measures for issuance of Aadhaar number to certain category of persons.,1
5,5,5,5,SECTIONS,6.. Update of certain information .CHAPTER III,1
6,6,6,6,SECTIONS,"7.. Proof of Aadhaar number necessary for receipt of certain subsidi es, benefits and services, etc.",1
7,7,7,7,SECTIONS,8.. Authentication of Aadhaar number.,1
8,8,8,8,SECTIONS,"9.. Aadhaar number not evidence of citizenship or domicile, etc.",1
9,9,9,9,SECTIONS,10. Central Identities Data Repository .CHAPTER IVUNIQUE IDENTIFICATION AUTHORITY OF INDIA,1
10,10,10,10,SECTIONS,11. Establishment of Authority.,1
11,11,11,11,SECTIONS,12. Composition of Authority.,1
12,12,12,12,SECTIONS,13. Qualifications for appointment of Chairperson and Members of Authority.,1
13,13,13,13,SECTIONS,14. Term of office and other conditions of service of Chairperson and Members.,1
14,14,14,14,SECTIONS,15. Removal of Chairperson and Members.,1
15,15,15,15,SECTIONS,16. Restrictions on Chairperson or Members on employment after cessation of office .,1
16,16,16,16,SECTIONS,17. Functions of Chairperson.,1
17,17,17,17,SECTIONS,18. Chief executive officer.,1
18,18,18,18,SECTIONS,19. Meetings of Authority.2,1
19,19,19,19,SECTIONS,"20. Vacancies, etc., not to invalidate proceedings of Authority .",2
20,20,20,20,SECTIONS,21. Officers and other employ ees of Authority.,2
21,21,21,21,SECTIONS,"22. Transfer of assets, liabilities of Authority .",2
22,22,22,22,SECTIONS,"23. Powers and functions of Authority .CHAPTER VGRANTS , ACCOUNTS AND AUDIT AND ANNUAL REPORT",2
23,23,23,23,SECTIONS,24. Grants by Central Government.,2
24,24,24,24,SECTIONS,25. Other fees and revenues .,2
25,25,25,25,SECTIONS,26. Accounts and audit .,2
26,26,26,26,SECTIONS,"27. Returns and annual report, etc.CHAPTER VIPROTECTION OF INFORMATION",2
27,27,27,27,SECTIONS,28. Security and confidentiality of information.,2
28,28,28,28,SECTIONS,29. Restriction on sharing information.,2
29,29,29,29,SECTIONS,30. Biometric information deemed to be sensitive personal information.,2
30,30,30,30,SECTIONS,31. Alteration of dem ographic information or biometric information.,2
31,31,31,31,SECTIONS,32. Access to own information and records of requests for authentication.,2
32,32,32,32,SECTIONS,33. Disclosure of information in certain cases.CHAPTER VIIOFFENCES AND PENALTIES,2
