Title,Paragraph Text,Page No
SECTIONS,"1. Short title, extent, commencement and application.",1
SECTIONS,2. Definitions.CHAPTER IIGENERAL PRINCIPLES OF CARE AND PROTECTION OF CHILDREN,1
SECTIONS,3. General principles to be followed in administration of Act.CHAPTER IIIJUVENILE  JUSTICE  BOARD,1
SECTIONS,4. Juvenile Justice Board.,1
SECTIONS,"5. Placement of person, who cease to be a child during process of inquiry.",1
SECTIONS,"6. Placement of persons, who committed an offence, when person was below the age of eighteenyears.",1
SECTIONS,7. Procedure in relation to Board.,1
SECTIONS,"8. Powers, functions and responsibilities of the Board.",1
SECTIONS,9. Procedure to be followed by a Magistrate who has not been empowered under this Act.CHAPTER  IVPROCEDURE IN RELATION TO CHILDREN IN CONFLICT WITH LAW,1
SECTIONS,10. Apprehension of child alleged to be in conflict with law.,1
SECTIONS,11. Role of person in whose charge child in conflict with law is placed.,1
SECTIONS,12. Bail to a person who is apparently a child alleged to be i n conflict with law.,1
SECTIONS,"13. Information to parents, guardian or probation officer.",1
SECTIONS,14. Inquiry by Board regarding child in conflict with law.,1
SECTIONS,15. Preliminary assessment into heinous offences by Board.,1
SECTIONS,16. Review of pendency of inquiry.,1
SECTIONS,17. Orders regarding a child not found to be in conflict with law.,1
SECTIONS,18. Orders regarding child found to be in conflict with law.,1
SECTIONS,19. Powers of Children’s Court.,1
SECTIONS,20. Child attained age of twenty -one years and yet to complete prescribed term of stay in place ofsafety.2,2
SECTIONS,21. Order that may not be passed against a child in conflict with law.,2
SECTIONS,22. Proceeding under Chapter VIII of the Code of Criminal Procedure not to apply against child.,2
SECTIONS,23. No joint proceedings of child in conflict with law and person not a child.,2
SECTIONS,24. Removal of disqualification on the findings of an offence.,2
SECTIONS,25. Special provision in respect of pending cases.,2
SECTIONS,26. Provision with respect of run away child in conflict with law.CHAPTER VCHILD  WELFARE COMMITTEE,2
SECTIONS,27. Child Welfare Committee.,2
SECTIONS,28. Procedure in relation to Committee.,2
SECTIONS,29. Powers of Committee.,2
SECTIONS,30. Functions and responsibilities of Committee.CHAPTER VIPROCEDURE IN RELATION TO CHILDREN IN NEED OF CARE AND PROTECTION,2
SECTIONS,31. Production before Committee.,2
SECTIONS,32. Mandatory reporting regarding a child found se parated from guardian.,2
SECTIONS,33. Offence of non -reporting.,2
SECTIONS,34. Penalty for non -reporting.,2
SECTIONS,35. Surrender of children.,2
SECTIONS,36. Inquiry.,2
SECTIONS,37. Orders passed regarding a child in need of care and protection.,2
SECTIONS,38. Procedure for declaring a child legally free for adoption.CHAPTER VIIREHABILITATION AND SOCIAL RE -INTEGRATION,2
SECTIONS,39. Process of rehabilitation and social re -integration.,2
SECTIONS,40. Restoration of child in need of care and protection.,2
SECTIONS,41. Registration of child care institutions.,2
SECTIONS,42. Penalty for non -registration of child car e institutions.,2
SECTIONS,43. Open shelter.,2
SECTIONS,44. Foster care.,2
SECTIONS,45. Sponsorship.,2
SECTIONS,46. After care of children leaving child care institution.,2
SECTIONS,47. Observation homes.,2
SECTIONS,48. Special homes.3,3
SECTIONS,49. Place of safety.,3
SECTIONS,50. Children’s Home.,3
SECTIONS,51. Fit facility.,3
SECTIONS,52. Fit person.,3
SECTIONS,53. Rehabilitation and re -integration services in institutions registered under this Act and managementthereof.,3
SECTIONS,54. Inspection of institutions registered under this Act.,3
SECTIONS,55. Evaluation of functioning of structures.CHAPTER VIII,3
SECTIONS,56. Adoption.,3
SECTIONS,57. Eligibility of prospective adoptive parents.,3
SECTIONS,58. Procedure for adoption by Indian prospective adoptive parents living in India.,3
SECTIONS,59. Procedure for inter -country adoption of an orphan or abandoned or surrendered child.,3
SECTIONS,60. Procedure for inter -country relativ e adoption.,3
SECTIONS,61. Court procedure and penalty against payment in consideration of adoption.,3
SECTIONS,62. Additional procedural requirements and documentation.,3
SECTIONS,63. Effect of adoption.,3
SECTIONS,64. Reporting of adoption.,3
SECTIONS,65. Specialised Adoption Agencies.,3
SECTIONS,66. Adoption of children residing in institutions not registered as adoption agencies.,3
SECTIONS,67. State Adoption Resource Agency.,3
SECTIONS,68. Central Adoption Resource Authority.,3
SECTIONS,69. Steering Committee of Authority.,3
SECTIONS,70. Powers of Authority.,3
SECTIONS,71. Annual Report of Authority.,3
SECTIONS,72. Grants by Central Government.,3
SECTIONS,73. Accounts and audit of Authority.CHAPTER IXOTHER OFFENCES AGAINST CHILDREN,3
SECTIONS,74. Prohibition on disclosure of identity of children.,3
SECTIONS,75. Punishment for cruelty to child.,3
SECTIONS,76. Employment of child for begging.,3
SECTIONS,77. Penalty for giving intoxicating liquor or narcotic drug or psychotropic substance to a child.4,4
SECTIONS,"78. Using a child for vending, peddling, carrying, supplying or smuggling any intoxicating liquor,narcotic drug or psychotropic substance.",4
SECTIONS,79. Exploitation of a child empl oyee.,4
SECTIONS,80. Punitive measures for adoption without following prescribed procedures.,4
SECTIONS,81. Sale and procurement of children for any purpose.,4
SECTIONS,82. Corporal punishment.,4
SECTIONS,83. Use of child by militant groups or other adults.,4
SECTIONS,84. Kidnapping and abduction of child.,4
SECTIONS,85. Offences committed on disabled children.,4
SECTIONS,86. Classification of offences and designated court.,4
SECTIONS,87. Abetment.,4
SECTIONS,88. Alternative punishment.,4
SECTIONS,89. Offence committed by child under this Chapter.CHAPTER X,4
SECTIONS,90. Attendance of parent or guardian of chil d.,4
SECTIONS,91. Dispensing with attendance of child.,4
SECTIONS,92. Placement of a child suffering from disease requiring prolonged medical treatment in an approvedplace.,4
SECTIONS,93. Transfer of a child who is mentally ill or addicted to alcohol or other drugs.,4
SECTIONS,94. Presumption and d etermination of age.,4
SECTIONS,95. Transfer of a child to place of residence.,4
SECTIONS,"96. Transfer of child between Children’s Homes, or special homes or fit facility or fit person indifferent parts of India.",4
SECTIONS,97. Release of a child from an institution.,4
SECTIONS,98. Leave of absence  to a child placed in an institution.,4
SECTIONS,99. Reports to be treated as confidential.,4
SECTIONS,100. Protection of action taken in good faith.,4
SECTIONS,101. Appeals.,4
SECTIONS,102. Revision.,4
