,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title extent and commencement,1
1,1,SECTIONS,de fi ni ti ons chapter management and of national compensatory afforestation fund and state compensatory afforestation fund,1
2,2,SECTIONS,establishment of national fund,1
3,3,SECTIONS,establishment of state fund,1
4,4,SECTIONS,disbursement and of national fund,1
5,5,SECTIONS,disbursement and of state fund,1
6,6,SECTIONS,accounting procedure chapter of national authority and state authority,1
7,7,SECTIONS,constitution of national authority,1
8,8,SECTIONS,executive committee and monitor ing group of national authority,1
9,9,SECTIONS,constitution of state authority,1
10,10,SECTIONS,steer committee and executive committee of state authority,1
11,11,SECTIONS,term of office and condition of service of member,1
12,12,SECTIONS,dis qua li fi ca ti ons chapter and function of national authority and state authority,1
13,13,SECTIONS,power and function of national authority,1
14,14,SECTIONS,power and function of executive committee of national authority,1
15,15,SECTIONS,function of monitor ing group,1
16,16,SECTIONS,power and function of state authority,1
17,17,SECTIONS,power and function of steer committee of state authority,1
18,18,SECTIONS,function and power of executive committee of state chapter account audit and annual report,1
19,19,SECTIONS,budget of national authority,2
20,20,SECTIONS,investment of fund by national authority,2
21,21,SECTIONS,account and audit of national authority,2
22,22,SECTIONS,annual report of national authority,2
23,23,SECTIONS,annual report and audit report of national authority to be laid before parliament,2
24,24,SECTIONS,budget of state authority,2
25,25,SECTIONS,investment of fund by state authority,2
26,26,SECTIONS,account and audit of state authority,2
27,27,SECTIONS,annual report of state authority,2
28,28,SECTIONS,annual report and audit report of state authority to be laid before state legislature chapter,2
29,29,SECTIONS,power to make rule,2
30,30,SECTIONS,transfer of asset liability,2
31,31,SECTIONS,validation,2
32,32,SECTIONS,power of central government to issue the compensatory afforestation fund act no of august act to provide for the establishment of fund under the public account of and the public account of each state and credit thereto the mo ni es receive from the towards compensatory afforestation additional compensatory afforestation penal compensatory afforestation net present value and all other amount recover from under the forest conservation act,2
33,33,SECTIONS,constitution of an authority at national level and at each of the state and union territory administration for administration of the funds and to the mo ni es so collect for undertaking artificial regeneration planta ti ons assist natural regeneration protection of forest forest related infrastructure development green pro gramme wildlife protection and other related activity and connect therewith or incidental thereto whereas the supreme court in it order in god a v ar man v union of,2
34,34,SECTIONS,an dot hers writ petition civil no of date the observe that a compensatory afforestation fund be create in which all the mo ni es receive from the user compensatory afforestation additional compensatory afforestation penal compensatory afforestation net present value of the divert forest land or catchment area treatment plan shall be de po site dand whereas it have also be observe that the money receive from the user agency in forest land divert fall within protect,2
35,35,SECTIONS,area that be the area notify under the wild life protection act of for undertaking activity related to protection of or wildlife shall also be deposit in the fun dand whereas the supreme court have direct that besides artificial regeneration plantation the fund shall also be for undertaking assist natural regeneration protection of forest sin fra structure development wildlife protection and other related activity and an independent system of concurrent monitor ing and evaluation should,2
36,36,SECTIONS,be evolve and implement through the compensatory afforestation fund to ensure effective and proper of fund sand whereas the supreme court in it judgment date sept ember in the say writ petition observe that the fund generate for protect ecology and provide regeneration should not bet rea ted a a fund under article and article of the constitution and whereas in it direction date the may the supreme court have direct that since the government have not constitute a compensatory afforestation,2
37,37,SECTIONS,fund management and authority hereinafter refer to a authority an ad authority should be constitute till the compensatory afforestation fund management and authority becomes operational and direct to centrally pool the money recover on behalf of the say authority lie in the state and union territory into the ad compensatory afforestation fund management and authority and whereas central government formulate guideline date the on the subject of state authority for,2
38,38,SECTIONS,of fund lie with the ad authority and whereas in it direction date the the supreme court have direct that the guide lin es and structure of the state authority prepared by the central government may be notify an dimple men te dand whereas in it direction date the the supreme court far direct that til lan alternative system be put in place after obtain permission from the supreme court the money towards compensatory afforestation net present value and protect area national park,2
39,39,SECTIONS,shall continue to be deposit in the ad and whereas in compliance of the direction of the supreme court include it order date the over rupee thirty eight thousand crore a collect by the state government and union territory administration have be place under the ad authority and deposit in the absence of permanent institutional mechanism for of fund collect by th estate government and union territory administration be the,2
40,40,SECTIONS,main reason for accumulation of huge unspent fund in the ad authority now therefore base on the above order direction and observation of the supreme court to ensure safety security and expeditious in a transparent manner of fund accumulate with the ad authority and the fund to be collect by the state government and union territory admi ni strati ons it be propose to create a national compensatory afforestation fund and a national compensatory afforestation fund management and authority at the national,2
41,41,SECTIONS,level and a state compensatory afforestation fund and a state compensatory afforestation fund management authority in each state and union territory by an act of parliament be it enact by parliament in the sixty seventh year of the republic of a follow chapter i,2
42,42,SECTIONS,short title extent and commencement this act may be call the compensatory afforestation fund act it to the whole of except the state of jam mu and save a otherwise provide in this act it shall come into force on such a the central government may by notification in the official gazette appoint,4
43,43,SECTIONS,definition in this act unless the context otherwise require sa ad authority mean the ad compensatory afforestation fund management authority constitute under the order date the may of the supreme court in v union of and writ petition civil no of chair person national authority mean the chair person of the govern body of the national chair person state authority mean the chair person of the govern body of the,4
44,44,SECTIONS,compensatory afforestation mean afforestation do in lieu of the diversion of forest land for non forestry use under the forest conservation act of environmental service include si provision of good such a wood non timber forest product fuel fodder water and provision of service such a grazing tourism wildlife protection and life regulate service such a flood moderation carbon sequestration and health of soil ai rand water support such other service,4
45,45,SECTIONS,necessary for the production of ecosystem nutrient cycling and primary production include pollination and seed head of the regional office mean the senior most officer appoint by the central government at regional office to deal with the forest conservation matter under the forest conservation act of,4
46,46,SECTIONS,sept ember notification no so date august see gazette of extraordinary part sec g monitor ing group mean a group of expert to monitor the activity under taken release from the national fund and state fund constitute under subsection of national authority mean national compensatory afforestation fund management authority constitute under section national fund mean the national compensatory afforestation fund,4
47,47,SECTIONS,establish under subsection of section net present value mean the quantification of the environmental service provide for the forest area divert for non forestry us a may be determine by an expert committee appoint by the central government from time to time in this penal compensatory afforestation mean afforestation work to be under taken over and above the compensatory afforestation specify in the guideline issue under the forest conservation in lieu of the extent of area over which,4
48,48,SECTIONS,non forestry activity have be carry out without obtain ing prior approval of the competent authority under the forest conservation act mean by rule make by the central government in consultation with the state government under this state authority mean the state compensatory afforestation fund management authority constitute under section state fund mean the state compensatory afforestation fund establish by each state under subsection of section,4
49,49,SECTIONS,state government include union territory user agency mean any person organ is at ion or company or department of the central government or state government make a request for diversion or de notification of forest land for nonforest purpose or use forest land for nonforest purpose in accordance with the in the forest conservation act of and the rule make and thereunder chapter management and of national compensatory afforestation fund and state compensatory afforestation fund,4
50,50,SECTIONS,establishment of national fund with effect from such date a the central government may by notification in the official gazette appoint in this behalf there shall be establish for of this act a special fund to be call the national compensatory afforestation fund under the public account of the national fund shall be under the control of the central government and manage by the national authority in such manner a may be on the date of establishment of the national fund all mo ni es,5
51,51,SECTIONS,collect by the state government sand union territory administration which have be place under the ad authority and deposit in the nation a li se bank shall be transfer to the national there shall also be credit into the national fund by each state on yearly basis ten per cent of the fund rea li se from the user agency in respect of the forest land divert in their which have been credit directly into the state there shall also be credit to the national fun da grant si naid receive if any by,5
52,52,SECTIONS,the national any loan take or any borrowing make by the national any other sum receive by the national authority by way of benefaction gift or the mo ni es receive in the national fund shall be an interest bearing fund under public the balance in the national fund shall be non lapsable and get interest a per the rate declare by the central government on year to year basis,5
53,53,SECTIONS,establishment of state fund with effect from such date a each state government may by notification in the official gazette appoint in this behalf there shall be establish for the purpose of this act a special fund to be call the state compensatory afforestation fund name of state under public account of such state provided that in case of union territory have no legislature such fund shall be establish under the public account of union of with effect from such date a the union territory,6
54,54,SECTIONS,administration may by notification in the official gazette appoint in this the state fund in each state shall be under the control of the state government of such state and man aged by the state authority of such state in such manner a may be there shall be credit into the state fund of a the unspent balance of all mo ni es which have be transfer by ad authority to the state compensatory afforestation compensatory afforestation fund management and in such state in,6
55,55,SECTIONS,compliance of guideline date the all mo ni es transferable from the national fund under clause a of section all mo ni es rea li se from user agency by such state towards compensatory afforestation additional compensatory afforestation penal compensatory afforestation net present value catchment area treatment plan or any money for compliance of condition stipulate by the central government while accord approval under the provision of the forest conservation act of the fund,6
56,56,SECTIONS,recoverable from user agency by such state in case where forest land within the protect area that be area notify under section or of the wild life protection act of for undertaking activity relate to the protection of a state government may also credit to the state fund constitute by grant si naid receive if any by the state any loan take or any borrowing make by the state any other sum receive by the state,6
57,57,SECTIONS,authority by way of benefaction gift or the mo ni es receive in the state fund shall be an interest bearing fund under public the balance in each state fund shall be non lapsable and get interest a per the rate declare by the central government on year to year basis,6
58,58,SECTIONS,disbursement and of national fund save a otherwise provide in this act the mo ni es available in the national fund shall be disburse and in the follow manner na mel ya ninety per cent of the all mo ni es collect by a state which have be place under the authority and the interest accrue thereon shall be transfer to the state fund establish in such state under subsection of section the balance ten per cent of all mo ni es collect by the state and union territory admi ni strati ons,6
59,59,SECTIONS,which have be place under the ad authority and the interest accrue thereon and all fresh accrual to the national fund a provide in subsection of section and the thereon shall be for the nonrecurring and recur expenditure for the management of the national the salary and allowance payable to it officer and other the expenditure incur on monitor ing and evaluation of work execute by the national authority and each state the,6
