,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,PRELIMINARY,"1.. Short title, application and commencement .—(1)) This Act may be called the Admiralty(Jurisdiction and Settlement of Maritime Claims) Act, 2017.(2)) It shall apply to every vessel, irrespective of the place of residence or domicile of the owner:Provided that this Act shall not apply to an inland vessel defined in clause ( a)) of sub-section ( 1)) of section 2of the Inland Vessels Act, 1917 (1of 1917), or avessel under construction that has not been launched unless it is notified by the Central Government to be avessel for the purposes of this",2
1,1,1,PRELIMINARY,"Act:Provided further that this Act shall not apply to awarship, naval auxiliary or other vessel owned or operated by the Central or aState Government and used for any non-commercial purpose, and, shall also not apply to aforeign vessel which is used for any non-commercial purpose as may be notified by the Central Government.(3)) It shall come into force on such date as the Central Government may, by notification in the OfficialGazette, appoint.",2
2,2,2,PRELIMINARY,"2.. Definitions. —(1)) In this Act,—(a)) “admiralty jurisdiction” means the jurisdiction exercisable by aHigh Court under section 3,, in respect of maritime claims specified under this Act;(b)) “admiralty proceeding” means any proceeding before aHigh Court, exercising admiraltyjurisdiction;(c)) “arrest” means detention or restriction for removal of avessel by order of aHigh Court to secure amaritime claim including seizure of avessel in execution or satisfaction of ajudgment ororder;(d)) “goods” means any property including live animals,",2
3,3,3,PRELIMINARY,"containers, pallets or such other articles of transport or packaging or luggage irrespective of the fact whether such property is carried, on or under the deck of avessel;(e)) “High Court”, in relation to an admiralty proceeding, means any of the High Court of Calcutta,High Court of Bombay, High Court of Madras, High Court of Karnataka, High Court of Gujarat, High Court of Orissa, High Court of Kerala, High Court of Judicature at Hyderabad for the State ofTelangana and the State of Andhra Pradesh or any other High Court, as may be notified by",2
4,4,4,PRELIMINARY,"the Central Government for the purposes of this Act;(f))“maritime claim” means aclaim referred to in section 4;;(g)) “maritime lien” means amaritime claim against the owner, demise charterer, manager or operator of the vessel referred to in clauses ( a)) to ( e)) of sub-section ( 1)) of section 9,, which shall continue to exist under sub-section ( 2)) of that section;(h)) “notification” means anotification published in the Official Gazette;(i)) “port” shall have the same meaning as assigned to it in the India nPorts Act, 1908 (15 of 1908);(j))",2
5,5,5,PRELIMINARY,"“prescribed” means prescribed by rules made by the Central Government under this Act;(k)) “territorial waters” shall have the same meaning as assigned to it in the Territorial Waters,Continental Shelf, Exclusive Economic Zone and Other Maritime Zones Act, 1976 (80 of 1976); and(l)) “vessel” includes any ship, boat, sailing vessel or other description of vessel used or constructed for use in navigation by water, whether it is propelled or not, and includes abarge, lighter or other floating vessel, ahovercraft, an off-shore industry mobile unit,",2
6,6,6,PRELIMINARY,"avessel that has sunk or is stranded or abandoned and the remains of such avessel.Explanation. —Avessel shall not be deemed to be avessel for the purposes of this clause, when it is broken up to such an extent that it cannot be put into use for navigation, as certified by asurveyor.3((2)) The words and expressions used herein but not defined and defined in the Merchant Shipping Act,1958 (44 of 1958) shall have the meanings respectively assigned to them in that Act.CHAPTER IIADMIRALTY JURISDICTION AND MARITIME CLAIMS",2
7,7,7,PRELIMINARY,"3.. Admiralty jurisdiction .—Subject to the provisions of sections 4and 5,, the jurisdiction in respect of all maritime claims under this Act shall vest in the respective High Courts and be exercisable over the waters up to and including the territorial waters of their respective jurisdictions in accordance with the provisions contained in this Act:Provided that the Central Government may, by notification, extend the jurisdiction of the High Court up to the limit as defined in section 2of the Territorial Waters, Continental Shelf, Exclusive Economic Zone and Other Maritime Zones Act, 1976 (80 of 1976).",3
8,8,8,PRELIMINARY,"4.. Maritime claim. —(1)) The High Court may exercise jurisdiction to hear and determine any question on amaritime claim, against any vessel, arising out of any—(a)) dispute regarding the possession or ownership of avessel or the ownership of any sharetherein;(b)) dispute between the co-owners of avessel as to the employment or earnings of the vessel;(c)) mortgage or acharge of the same nature on avessel;(d)) loss or damage caused by the operation of avessel;(e)) loss of life or personal injury occurring whether on land or on water, in direct",3
9,9,9,PRELIMINARY,"connection with the operation of avessel;(f)) loss or damage to or in connection with any goods;(g)) agreement relating to the carriage of goods or passengers on board avessel, whether contained in acharter party or otherwise;(h)) agreement relating to the use or hire of the vessel, whether contained in acharter party orotherwise;(i)) salvage services, including, if applicable, special compensation relating to salvage services in respect of avessel which by itself or its cargo threatens damage to the environment;(j)) towage;(k)) pilotage;(l))",3
