Title,Paragraph Text,Page No
,"(REPEAL) ACT, 2018_____________ARRANGEMENT OF SECTIONS_____________",1
,1. Short title and commencement .,1
,2. Repeal and savings .2THE NATIONAL COMMISSION FOR BACKWARD CLASSES,2
,"(REPEAL) ACT, 2018ACT NO. 24 OF 2018[14th August, 2018.]An Act to repeal the National Commission for Backward Classes Act, 1993.BE it enacted by Parliament in the Sixty -ninth Year of the Republic of India as follows: —",2
,"1. Short title and commencement .—(1) This Act may be called the National Commission forBackward Classes (Repeal) Act, 2018.",2
,"(2) It shall come into force on such date1 as the Central Government may, by notification in the OfficialGazette, appoint.",2
,"2. Repeal and savings. —(1) The National Commission for Backward Classes  Act, 1993           (27 of1993) is hereby repealed and the National Commission for Backward Classes constituted under sub -section ( 1) of section 3 of the said Act shall stand dissolved.",2
,"(2) The repeal of the National Commission for Backward Classes Act, 1993  (27 of 1993) shall,however, not affect, —",2
,(i) the previous operation of the Act so repealed or anything duly done or suffered thereunder; or,2
,"(ii) any right, privilege, obligation or liability acquired, accrued or incurred under the Act so repealed;or",2
,"(iii) any penalty, confiscation or punishment incurred in respect of any contravention under the Act sorepealed; or",2
,"(iv) any proceeding or remedy in respect of any such right, privilege, obligation, liability, penalty,confiscation or punishment as afore said, and any such proceeding or remedy may be instituted, continued orenforced, and any such penalty, confiscation or punishment may be imposed or made as if that Act had notbeen repealed.",2
,"(3) The mention of the particular matters referred to in sub -section ( 2) shall not be held to prejudice oraffect the general application of section 6 of the General Clauses Act, 1897  (10 of 1897) with regard to theeffect of repeal.",2
,"1. 15th August, 2018, vide notification No. S.O. 3988(E), dated 14th August, 2018, see Gazette of India, Extraordinary, Part II, sec.3(ii).",2
