Title,Paragraph Text,Page No
SECTIONS,"1.Short title, extent and commencement.",1
SECTIONS,2.Definitions.,1
SECTIONS,3.Establishment of University.,1
SECTIONS,4.Objects of University.,1
SECTIONS,5.Powers and functions of University.,1
SECTIONS,"6.University to be open to all caste, creed, race or class.",1
SECTIONS,7.Central Government to review work and progress of University.,1
SECTIONS,8.Officers of University.,1
SECTIONS,9.Chancellor.,1
SECTIONS,10.Vice-Chancellor.,1
SECTIONS,11.Deans of Schools.,1
SECTIONS,12.Registrar.,1
SECTIONS,13.Finance Officer.,1
SECTIONS,14.Controller of Examinations.,1
SECTIONS,15.Librarian.,1
SECTIONS,16.Other officers.,1
SECTIONS,17.Authorities of University.,1
SECTIONS,18.The Court.,1
SECTIONS,19.Executive Council.,1
SECTIONS,20.Academic and Activity Council.,1
SECTIONS,21.Board of Sports Studies.,1
SECTIONS,22.Finance Committee.,1
SECTIONS,23.Other authorities of University.,1
SECTIONS,24.Power to make Statutes.,1
SECTIONS,"25.Statutes, how to be made.",1
SECTIONS,26.Power to make Ordinances.,1
SECTIONS,27.Regulations.,1
SECTIONS,28.Annual report.,1
SECTIONS,29.Annual accounts.,1
SECTIONS,30.Fund of University.,1
SECTIONS,31.Returns and information.,1
SECTIONS,"32.Conditions of service of employees, etc.",1
SECTIONS,33.Procedure of appeal and arbitration in disciplinary cases against students.,1
SECTIONS,34.Rights to appeals.,1
SECTIONS,35.Provident and pension funds.,1
SECTIONS,36.Disputes as to constitution of authorities and bodies.,1
SECTIONS,37.Filing of casual vacancies.,1
SECTIONS,38.Proceedings of authorities or bodies not invalidated by vacancies.,1
SECTIONS,39.Protection of action taken in good faith.,1
SECTIONS,40.Mode of proof of University record.,1
SECTIONS,41.Power to remove difficulties.,1
SECTIONS,"42.Statutes, Ordinances and Regulations to be published in the Official Gazette and to be laidbefore Parliament.",1
SECTIONS,43.Transitional provisions.,1
SECTIONS,"44.Repeal and savings.THE SCHEDULE.2 THE NATIONAL SPORTS UNIVERSITY ACT, 2018ACT NO. 25 OF 2018[17th August, 2018.]An Act to establish and incorporate a National Sports University in the State of Manipur, a specialisedUniversity first of its kind, to promote sports education in the areas of sports sciences, sportstechnology, sports management and sports coaching besides functioning as the national trainingcentre for select sports disciplines by adopting best international practices and for matters connectedtherewith or incidental thereto.BE it enacted by Parliament in the Sixty-ninth Year of the Republic of India as follows:—",2
SECTIONS,"1. Short title, extent and commencement .—(1) This Act may be called the National Sports UniversityAct, 2018.",2
SECTIONS,(2) It extends to the whole of India.,2
