,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,SECTIONS,1.. Short title and commencement .,1
1,1,1,SECTIONS,2.. Definitions .,1
2,2,2,SECTIONS,3.. Reservation of posts in recruitment sby Cen tral Educational Institutions .,1
3,3,3,SECTIONS,4.. Act not to apply in certain cases.,1
4,4,4,SECTIONS,5.. Laying of notifications before Parliament.,1
5,5,5,SECTIONS,"6.. Repeal and savings.2THE CENTRAL EDUCATIONAL INSTITUTIONS (RESERVATION IN TEACHERS ’CADRE) ACT, 2019ACT NO. 10 OF 2019[9th July, 2019.]An Act to provide for the reservation of posts in appointments by direct recruitment of persons belonging to the Scheduled Castes, the Scheduled Tribes, the socially and educationally backward classes and the economically weaker sections, to teachers ’ cadre in certain Cent ralEducational Institutions established, maintained or aided by the Central Government, and for matters connected therewith or incidental thereto .BE it enacted by Parliament in the Seventieth Year of the Republic of India as follows:—",1
6,6,6,SECTIONS,"1.. Short title and commencement .—(1)) This Act may be called the Central Educational Institutions(Reservation in Teachers’ Cadre) Act, 2019.(2)) It shall be deemed to have come into force on the 7th day of March, 2019.",2
7,7,7,SECTIONS,"2.. Definitions .—In this Act, unless the context otherwise requires,—(a)) “appropriate authority” means the University Grants Commission established under the University Grants Commission Act, 1956 (3of 1956) , or any other authority or body established by or under aCentral Act for the determination, coordination or maintenance of the standards of high er education in any Central Educational Institution;(b)) “branch of study” means abranch of study leading to three principal levels of qualifications at bachelors (under",2
8,8,8,SECTIONS,"graduate), masters (post graduate) and doctoral levels;(c)) “Central Educational Institution ” means—(i)) aUniversity established or incorporated by or under aCentral Act;(ii) an institution of national importance established by an Act of Parliament;(iii) an institution, declared as an institution deemed to be University under section 3of the University Grants Commission Act, 1956 (3of 1956) ,, and maintained by or receiving aid from the Central Government;(iv) an institution maintained by or receiving aid from the Central",2
9,9,9,SECTIONS,"Government, whether directly or indirectly, and affiliated to an institution referred to in sub -clause ( i)) or sub -clause ( ii), ora constituent unit of an institution referred to in sub -clause ( iii); and(v)) an educational institution established by the Central Government under the Societies Registration Act, 1860 (21 of 1860) ;(d)) “direct recruitment ” means the process of appointing faculty by inviting applications against public advertisement from persons eligible to teach in aCentral Educational Institution;(e))",2
10,10,10,SECTIONS,“economically weaker sections” means such weaker sections as are referred to in Explanation to clause (6)) of article 15 of the Constitution;(f)) “faculty” means the faculty of aCentral Educational Institution;(g)) “Minority Educational Institution ” means an institution establi shed and administered by the minorities under clause (1)) of article 30 of the Constitution and so declared by an Act of Parliament or by the Central Government or declared as aMinority Educational Institution under the National Commission for Minority,2
11,11,11,SECTIONS,"Educational Institutions Act, 2004 (2of 2005) ;(h)) “sanctioned strength” means the number of posts in teachers’ cadre approved by the appropriate3authority;(i)) “Scheduled Castes” means the Scheduled Castes notified under article 341 of the Constitution;(j)) “Scheduled Tribes” means the Scheduled Tribes notified under article 342 of the Constitution;(k)) “socially and educationally backward classes” means such backward classes as are so deemed under article 342A of the Constitution;(l)) “teachers’ cadre” means a",2
12,12,12,SECTIONS,"class of all the teacher sof aCentral Educational Institution,regardless of the branch of study or faculty, who are remunerated at the same grade of pay, excluding any allowance or bonus.",2
13,13,13,SECTIONS,"3.. Reservation of posts in recruitment sby Cen tral Educational Institutions. —(1))Notwithstanding anything in any other law for the time being in force, there shall be reservation of post sin direct recruitment out of the sanctioned strength in teachers' cadre in aCentral Educational Institution to the extent and in the manner as may be specified by the Central Government by notification in the Official Gazette.(2)) For the purpose of reservati on of posts, aCentral Educational Institution shall be regarded as oneunit.",3
14,14,14,SECTIONS,"4.. Act not to apply in certain cases. —The provisions of section 3shall not apply to—(a)) the institutions of excellence, research institutions, institutions of national and strategic importance specified in the Schedule to this Act;(b)) aMinority Educational Institution.(2)) The Central Government may, by notification in the Official Gazette, amend the Schedule referred to in clause ( a)) of sub -section ( 1)) from time to time.",3
15,15,15,SECTIONS,"5.. Laying of notifications before Parliament. —Every notification made by the Central Government under this Act shall be laid, as soon as may be after it is made, before each House of Parliament while it isin session, for atotal period of thirty days which may be comprised in one session or in two or more successivesessions, and if, before the expiry of the session immediately following the session or the successive sessions aforesaid, both Houses agree in making any modification in the notification or both Houses agree that",3
16,16,16,SECTIONS,"the notification should not be made, the notification shall thereafter have effect only in such modified form or be of no effect, as the case may be; so, however, that any such modification or annulment shall be without prejudice to the validity of anything previously done under that notification.",3
17,17,17,SECTIONS,"6.. Repeal and savings. —(1)) The Central Educational Institutions (Reservation in Teachers'Cadre) Ordinance, 2019 (Ord. 13 of 2019) is hereby repealed.(2)) Notwithstanding such repeal, anything done or any action taken under the said Ordinance shall be deemed to have been done or taken under this Act.",3
