,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
0,0,0,SECTIONS,1.. Short title and commencement.,1
1,1,1,SECTIONS,2.. Definitions.CHAPTER IIESTABLISHMENT AND INCORPORATION OF NEW DELHI INTERNATIONAL ARBITRATION CENT RE,1
2,2,2,SECTIONS,3.. Establishment and incorporation of New Delhi In ternational Arbitration Centre.,1
3,3,3,SECTIONS,4.. Declaration of New Delhi International Arbitrat ion Cent re as an institution of nationalimportance.,1
4,4,4,SECTIONS,5.. Composition of Centre.,1
5,5,5,SECTIONS,"6.. Terms and conditions, etc., of Chairperson and Members.CHAPTER IIIACQUISITION AND TRANSFER OF UNDERTAKINGS OF SOCIETY",1
6,6,6,SECTIONS,7.. Transfer and vesting.,1
7,7,7,SECTIONS,8.. General effect of vesting.,1
8,8,8,SECTIONS,9.. Liability prior to specified date.,1
9,9,9,SECTIONS,10. Power of Central Government to direct vesting of undertaking in Centre.,1
10,10,10,SECTIONS,"11. Management, etc., of undertakings.",1
11,11,11,SECTIONS,12. Duties of persons in charge of management of undertakings to deliver all assets.,1
12,12,12,SECTIONS,13. Certain powers of Central Government or Cent re .,1
13,13,13,SECTIONS,14. Objects of Centre.,1
14,14,14,SECTIONS,15. Functions of Centre.,1
15,15,15,SECTIONS,"16. Vacancies, etc., not to invalidate proceedings of Centre.",1
16,16,16,SECTIONS,17. Resignation of Members.,1
17,17,17,SECTIONS,18. Removal of Members.,1
18,18,18,SECTIONS,19. Committees of Centre.,1
19,19,19,SECTIONS,20. Meetings of Centre.,1
20,20,20,SECTIONS,21. Chief Executive Officer.,1
21,21,21,SECTIONS,22. Delegation of powers.,1
22,22,22,SECTIONS,"23. Secretariat.2CHAPTER IVFINANCE, ACCOUNTS AND AUDIT",1
23,23,23,SECTIONS,24. Grants by Central Government,2
24,24,24,SECTIONS,25. Fund of Centre.,2
25,25,25,SECTIONS,26. Accounts and audit.,2
26,26,26,SECTIONS,27. Assessment of assets and liabilities of under taking.CHAPTER VCHAMBER OF ARBITRATION AND ARBITRATION ACADEMY,2
27,27,27,SECTIONS,28. Chamber of Arbitration.,2
28,28,28,SECTIONS,29. Arbitration Academy.,2
29,29,29,SECTIONS,30. Power to make rules.,2
30,30,30,SECTIONS,31. Power to make regulations.,2
31,31,31,SECTIONS,32. Laying of rules and regulations.,2
32,32,32,SECTIONS,33. Protection of action taken in good faith.,2
33,33,33,SECTIONS,34. Power to remove difficulty.,2
