Title,Paragraph Text,Page No
SECTIONS,"1. Short title, extent and commencement .",1
SECTIONS,2. Definitions .CHAPTER IIDECLARATION OF TALAQ  TO BE VOID AND ILLEGAL,1
SECTIONS,3. Talaq to be void and illegal .,1
SECTIONS,4. Punishment for pronouncing talaq .CHAPTER IIIPROTECTION OF RIGHTS OF MARRIED MUSLIM WOMEN,1
SECTIONS,5. Subsistence allowance.,1
SECTIONS,6. Custody of minor children .,1
SECTIONS,"7. Offence to be cognizable, compoundable, etc .",1
SECTIONS,"8. Repeal and savings.2THE  MUSLIM  WOMEN  (PROTECTION  OF RIGHTS  ON MARRIAGE) ACT,  2019ACT NO. 20 OF 2019[31st July , 2019.]An Act to protect  the rights  of married  Muslim  women  and to prohibit  divorce  by pronouncing  talaq bytheir husbands  and to provide  for matters  connected therewith or incidental thereto.BE it enacted  by Parliament  in the Seventieth  Year of the Republic  of India  as follows :—CHAPTER I",2
SECTIONS,"1. Short title, extent and commencement. —(1) This Act may be called the Muslim Women(Protection of Rights on Marriage) Act, 2019.",2
SECTIONS,(2) It shall extend to the whole of India except the State of Jammu and Kashmir.,2
SECTIONS,"(3) It shall be deemed to have come into force on the 19th day of September, 2018.",2
SECTIONS,"2. Definitions .—In this Act, unless t he context otherwise requires, —",2
SECTIONS,"(a) “electronic  form” shall have the same meaning as assigned to it in clause (r) of sub -section ( 1)of section 2  of the Information Technology Act, 2000 (21 of 2000);",2
SECTIONS,"(b) “Magistrate ” means a Judicial Magistrate of the first class exercising jurisdiction under theCode of Criminal Procedure, 1973 (2 of 1974), in the area where the married Muslim woman resides;and",2
SECTIONS,(c) “talaq” means talaq -e-biddat  or any other similar form of talaq  having the effect ofinstantaneous and irrevocable divorce pronounced by a Muslim husband.CHAPTER IIDECLARATI ON OF TALAQ  TO BE VOID AND ILLEGAL,2
SECTIONS,"3. Talaq to be void and illegal .—Any pronouncement of talaq  by a Muslim husband upon his wife, by words,either spoken or written or in electronic form or in any other manner whatsoever, shall be void and illegal.",2
SECTIONS,"4. Punishment for pronouncing talaq .—Any Muslim husband who pronounces talaq  referred to insection 3  upon his wife shall be punished with imprisonment for a term which may extend to three years,and shall also be liable to fine.CHAPTER IIIPROTECTION OF RIGHTS OF MARRIED MUSLIM WOMEN",2
SECTIONS,"5. Subsistence allowance .—Without prejudice to the generality of the p rovisions contained in anyother law for the time being in force, a married Muslim woman upon whom talaq  is pronounced shall beentitled to receive from her husband such amount of subsistence allowance, for her and dependentchildren, as may be determined by the Magistrate.",2
SECTIONS,"6. Custody of minor children .—Notwithstanding anything contained in any other law for the timebeing in force, a married Muslim woman shall be entitled to custody of her minor children in the event ofpronouncement of talaq  by her husban d, in such manner as may be determined by the Magistrate.",2
SECTIONS,"7. Offence to be cognizable, compoundable, etc .—Notwithstanding anything contained in the Codeof Criminal Procedure, 1973 ( 2 of 1974), —",2
SECTIONS,"(a) an offence punishable under this Act shall be cognizable, if information relating to thecommission of the offence is given to an officer in charge of a police station by the married Muslimwoman upon whom talaq  is pronounced or any person related to her  by blood or marriage;",2
SECTIONS,"(b) an offence punishable under this Act shall be compoundable, at the instance of the marriedMuslim woman upon whom  talaq  is pronounced with the permission of the Magistrate, on such terms3and conditions as he may determine;",3
SECTIONS,"(c) no person accused of an offence punishable under this Act shall be released on bail unless theMagistrate, on an application filed by the accused and after hearing the married Muslim woman uponwhom talaq  is pronounced, is satisfied that there are reasonable  grounds for granting bail to suchperson.",3
SECTIONS,"8. Repeal and savings .—(1) The Muslim Women (Protection of Rights on Marriage) SecondOrdinance, 2019 (Ord. 4 of 2019) is hereby repealed.",3
SECTIONS,"(2) Notwithstanding such repeal, anything done or any action taken under the Muslim Women(Protection of Rights on Marriage) Second Ordinance, 2019 (Ord. 4 of 2019), shall be deemed to havebeen done or taken under the provisions of this Act.",3
