,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title extent and commencement,1
1,1,SECTIONS,de fi ni ti ons chapter of unregulated deposit scheme,1
2,2,SECTIONS,ban of unregulated deposit scheme,1
3,3,SECTIONS,fraudulent default in regulate deposit scheme,1
4,4,SECTIONS,wrongful inducement in relation to unregulated d epos it scheme,1
5,5,SECTIONS,certain scheme to be unregulated deposit scheme chapter,1
6,6,SECTIONS,competent authority,1
7,7,SECTIONS,designate court chapter ivin formation on deposit taker,1
8,8,SECTIONS,central data base,1
9,9,SECTIONS,information of business by deposit taker,1
10,10,SECTIONS,information to be sh ared chapter to depositor,1
11,11,SECTIONS,priority of depositor claim,1
12,12,SECTIONS,precedence of attachment,1
13,13,SECTIONS,application for confirmation of attachment and sale of property,1
14,14,SECTIONS,confirmation of attachment by designate court,1
15,15,SECTIONS,attachment of property of mala fide transferee,1
16,16,SECTIONS,payment in lieu of attachment,1
17,17,SECTIONS,power of designate court,1
18,18,SECTIONS,appeal to high court,1
19,19,SECTIONS,power of supreme court to transfer and punishment,1
20,20,SECTIONS,punishment for contravention of section,2
21,21,SECTIONS,punishment for contravention of section,2
22,22,SECTIONS,punishment for contravention of section,2
23,23,SECTIONS,punishment for repeat offender,2
24,24,SECTIONS,of fence by deposit taker other than individua l,2
25,25,SECTIONS,punishment for contravention of section,2
26,26,SECTIONS,cognizance of search and seizure,2
27,27,SECTIONS,of fence to be cognizable and nonbailable,2
28,28,SECTIONS,competent authority to be inform of of fence,2
29,29,SECTIONS,investigation of of fence by central bureau of investigation,2
30,30,SECTIONS,power to enter search and seize without warran t,2
31,31,SECTIONS,application of code of criminal procedure to proceeding before designate court chapter,2
32,32,SECTIONS,publication of advertisement of unregulated os it scheme,2
33,33,SECTIONS,act to have override effect,2
34,34,SECTIONS,application of other law not bar,2
35,35,SECTIONS,protection of action take in good faith,2
36,36,SECTIONS,power of central government to make rule,2
37,37,SECTIONS,power of state government to make rule,2
38,38,SECTIONS,lay of rule,2
39,39,SECTIONS,power to amend first schedule,2
40,40,SECTIONS,act not to apply certain deposit,2
41,41,SECTIONS,amendment to certain enactment,2
42,42,SECTIONS,power to remove difficulty,2
43,43,SECTIONS,repeal and ban of unregulated deposit scheme act no of act to provide for a comprehensive mechanism to ban the unregulated other than deposit take in the ordinary course of business and to protect the interest of depositor and for matter connect th ere with or incidental there tobe it enact by parliament in the seventieth year of the republic of a i,2
44,44,SECTIONS,short title extent and commencement this act may be call the ban of unregulated deposit scheme act it to the whole of except the state of jam mu and it shall be deem to have come into force on the day of,3
45,45,SECTIONS,definition in this act unless the context otherwise require appropriate government mean in respect of er relate toi the union territory without legislature the cent the union territory of pudu cherry the government of that union the union territory of the government of t hat union territory an div the state the state company shall have the same meaning a assign to it in clause of section of act of,3
