,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title extent and commencement,1
1,1,SECTIONS,application,1
2,2,SECTIONS,definition spart resolution and liquidation for corporate per sons chapter i,1
3,3,SECTIONS,application of this part,1
4,4,SECTIONS,de fi ni ti ons chapter insolvency resolution process,1
5,5,SECTIONS,person who may initiate corporate insolvency resolution process,1
6,6,SECTIONS,initiation of corporate insolvency resolution process by financial creditor,1
7,7,SECTIONS,insolvency resolution by operational creditor,1
8,8,SECTIONS,application for initiation of corporate insolvency resolution process by operational creditor,1
9,9,SECTIONS,initiation of corporate insolvency resolution process by corporate applicant,1
10,10,SECTIONS,person not entitle to make application,1
11,11,SECTIONS,time limit for completion of insolvency resolution withdrawal of application admit under section or,1
12,12,SECTIONS,declaration of moratorium and public announcement,1
13,13,SECTIONS,moratorium,1
14,14,SECTIONS,public announcement of corporate insolvency resolution process,1
15,15,SECTIONS,appointment and tenure of interim resolution professional,1
16,16,SECTIONS,management of affair of corporate debtor by interim resolution professional,1
17,17,SECTIONS,duty of interim resolution section,1
18,18,SECTIONS,personnel to extend cooper at ion to interim resolution professional,2
19,19,SECTIONS,management of operation of corporate debtor a go concern,2
20,20,SECTIONS,committee of creditor,2
21,21,SECTIONS,appointment of resolution professional,2
22,22,SECTIONS,resolution professional to conduct corporate insolvency resolution process,2
23,23,SECTIONS,meeting of committee of creditor,2
24,24,SECTIONS,duty of resolution right and duty of a ut ho rise representative of financial creditor,2
25,25,SECTIONS,application for avoidance of transaction not to affect proceeding,2
26,26,SECTIONS,replacement of resolution professional by committee of creditor,2
27,27,SECTIONS,approval of committee of creditor for certain action,2
28,28,SECTIONS,preparation of information person not eligible to be resolution applicant,2
29,29,SECTIONS,submission of resolution plan,2
30,30,SECTIONS,approval of resolution plan,2
31,31,SECTIONS,appeal chapter process,2
32,32,SECTIONS,initiation of liquidation,2
33,33,SECTIONS,appointment of liquidator and fee to be pa id,2
34,34,SECTIONS,power and duty of liquidator,2
35,35,SECTIONS,liquidation estate,2
36,36,SECTIONS,power of liquidator to access information,2
37,37,SECTIONS,consolidation of claim,2
38,38,SECTIONS,verification of claim,2
39,39,SECTIONS,admission or rejection of claim,2
40,40,SECTIONS,determination of valuation of claim,2
41,41,SECTIONS,appeal against the decision of liquidator,2
42,42,SECTIONS,preferential transaction and relevant time,2
43,43,SECTIONS,order in case of preferential transaction,2
44,44,SECTIONS,avoidance of undervalue transaction,2
45,45,SECTIONS,relevant period for avoidable section,2
46,46,SECTIONS,application by creditor in case of undervalue transaction,3
47,47,SECTIONS,order in case of undervalue transaction,3
48,48,SECTIONS,transaction defraud creditor,3
49,49,SECTIONS,extortionate credit transaction,3
50,50,SECTIONS,order of adjudicate authority in respect of extortionate credit transaction,3
51,51,SECTIONS,secure creditor in liquidation proceeding,3
52,52,SECTIONS,distribution of asset,3
53,53,SECTIONS,dissolution of corporate debtor chapter track corporate insolvency resolution process,3
54,54,SECTIONS,fast track corporate insolvency resolution process,3
55,55,SECTIONS,time period for completion of fast track corporate insolvency resolution process,3
56,56,SECTIONS,manner of initiate fast track corporate insolvency resolution process,3
57,57,SECTIONS,applicability of chapter to this chapter chapter liquidation of corporate person,3
58,58,SECTIONS,voluntary liquidation of corporate per sons chapter authority for corporate person,3
59,59,SECTIONS,adjudicate authority for corporate person,3
60,60,SECTIONS,appeal and appellate authority,3
61,61,SECTIONS,appeal to supreme court,3
62,62,SECTIONS,civil court not to have jurisdiction,3
63,63,SECTIONS,expeditious disposal of application,3
64,64,SECTIONS,fraudulent or malicious initiation of proceeding,3
65,65,SECTIONS,fraudulent trading or wrongful trading,3
66,66,SECTIONS,proceeding under section and penalty,3
67,67,SECTIONS,punishment for concealment of property,3
68,68,SECTIONS,punishment for transaction defraud creditor,3
69,69,SECTIONS,punishment for misconduct in course of corporate insolvency resolution section,3
70,70,SECTIONS,punishment for falsification of book of corporate debtor,4
71,71,SECTIONS,punishment for and material omission from statement relate to affair of corporate debtor,4
72,72,SECTIONS,punishment for false representation to creditor,4
73,73,SECTIONS,punishment for contravention of moratorium or the resolution plan,4
74,74,SECTIONS,punishment for false information furnish in application,4
75,75,SECTIONS,punishment for nondisclosure of dispute or payment of debt by operational creditor,4
76,76,SECTIONS,punishment for provide false information in application make by corporate debtor part resolution and bankruptcy for individual and partnership i,4
77,77,SECTIONS,application,4
78,78,SECTIONS,de fi ni ti ons chapter start process,4
79,79,SECTIONS,eligibility for make an application,4
80,80,SECTIONS,application for fresh start order,4
81,81,SECTIONS,appointment of resolution professional,4
82,82,SECTIONS,examination of application by resolution professional,4
83,83,SECTIONS,admission or rejection of application by adjudicate authority,4
84,84,SECTIONS,effect of admission of application,4
85,85,SECTIONS,objection by creditor and their examination by resolution professional,4
86,86,SECTIONS,application against decision of resolution professional,4
87,87,SECTIONS,general duty of debtor,4
88,88,SECTIONS,replacement of resolution professional,4
89,89,SECTIONS,direction for compliance of restriction,4
90,90,SECTIONS,revocation of order admit application,4
91,91,SECTIONS,discharge order,4
92,92,SECTIONS,standard of chapter resolution process,4
93,93,SECTIONS,application by debtor to initiate insolvency resolution process,5
94,94,SECTIONS,application by creditor to initiate insolvency resolution process,5
95,95,SECTIONS,interim moratorium,5
96,96,SECTIONS,appointment of resolution professional,5
97,97,SECTIONS,replacement of resolution professional,5
98,98,SECTIONS,submission of report by resolution professional,5
99,99,SECTIONS,admission or rejection of application,5
100,100,SECTIONS,moratorium,5
101,101,SECTIONS,public notice and claim from creditor,5
102,102,SECTIONS,register of claim by creditor,5
103,103,SECTIONS,preparation of list of creditor,5
104,104,SECTIONS,repayment plan,5
105,105,SECTIONS,report of resolution professional on repayment plan,5
106,106,SECTIONS,summon of meeting of creditor,5
107,107,SECTIONS,conduct of meeting of creditor,5
108,108,SECTIONS,voting right in meeting of creditor,5
109,109,SECTIONS,right of secure creditor in relation to repayment plan,5
110,110,SECTIONS,approval of repayment plan by creditor,5
111,111,SECTIONS,report of meeting of creditor on repayment plan,5
112,112,SECTIONS,notice of decision take at meeting of creditor,5
113,113,SECTIONS,order of adjudicate authority on repayment plan,5
114,114,SECTIONS,effect of order of adjudicate authority on repayment plan,5
115,115,SECTIONS,implementation and supervision of repayment plan,5
116,116,SECTIONS,completion of repayment plan,5
117,117,SECTIONS,repayment plan come to end prematurely,5
118,118,SECTIONS,discharge order,5
119,119,SECTIONS,standard of chapter order for individual and partnership firm,5
120,120,SECTIONS,application for bankruptcy,6
121,121,SECTIONS,application by debtor,6
122,122,SECTIONS,application by creditor,6
123,123,SECTIONS,effect of application,6
124,124,SECTIONS,appointment of insolvency professional a bankruptcy trustee,6
125,125,SECTIONS,bankruptcy order,6
126,126,SECTIONS,validity of bankruptcy order,6
127,127,SECTIONS,effect of bankruptcy order,6
128,128,SECTIONS,statement of financial position,6
129,129,SECTIONS,public notice invite claim from creditor,6
130,130,SECTIONS,registration of claim,6
131,131,SECTIONS,preparation of list of creditor,6
132,132,SECTIONS,summon of meeting of creditor,6
133,133,SECTIONS,conduct of meeting of creditor,6
134,134,SECTIONS,voting right of creditor,6
135,135,SECTIONS,administration and distribution of estate of bankruptcy,6
136,136,SECTIONS,completion of administration,6
137,137,SECTIONS,discharge order,6
138,138,SECTIONS,effect of discharge,6
139,139,SECTIONS,disqualification of bankrupt,6
140,140,SECTIONS,restriction on bankrupt,6
141,141,SECTIONS,modification or recall of bankruptcy order,6
142,142,SECTIONS,standard of conduct,6
143,143,SECTIONS,fee of bankruptcy trustee,6
144,144,SECTIONS,replacement of bankruptcy trustee,6
145,145,SECTIONS,resignation by bankruptcy trustee,6
146,146,SECTIONS,vacancy in office of bankruptcy trustee,6
147,147,SECTIONS,release of bankruptcy chapter and distribution of the estate of the bankrupt,6
148,148,SECTIONS,function of bankruptcy trustee,7
149,149,SECTIONS,duty of bankrupt towards bankruptcy trustee,7
150,150,SECTIONS,right of bankruptcy trustee,7
151,151,SECTIONS,general power of bankruptcy trustee,7
152,152,SECTIONS,approval of creditor for certain act,7
153,153,SECTIONS,vest of estate of bankrupt in bankruptcy trustee,7
154,154,SECTIONS,estate of bankrupt,7
155,155,SECTIONS,delivery of property and document to bankruptcy trustee,7
156,156,SECTIONS,acquisition of control by bankruptcy trustee,7
157,157,SECTIONS,restriction on disposition of property,7
158,158,SECTIONS,after acquired property of bankrupt,7
159,159,SECTIONS,onerous property of bankrupt,7
160,160,SECTIONS,notice to disclaim onerous property,7
161,161,SECTIONS,disclaimer of leasehold,7
162,162,SECTIONS,challenge against disclaim property,7
163,163,SECTIONS,undervalue transaction,7
164,164,SECTIONS,preference transaction,7
165,165,SECTIONS,effect of order,7
166,166,SECTIONS,extortionate credit transaction,7
167,167,SECTIONS,obligation under contract,7
168,168,SECTIONS,continuance of proceeding on death of bankrupt,7
169,169,SECTIONS,administration of estate of decease bankrupt,7
170,170,SECTIONS,proof of debt,7
171,171,SECTIONS,proof of debt by secure creditor,7
172,172,SECTIONS,mutual credit and setoff,7
173,173,SECTIONS,distribution of interim dividend,7
174,174,SECTIONS,distribution of property,7
175,175,SECTIONS,final section,7
176,176,SECTIONS,claim of creditor,8
177,177,SECTIONS,priority of payment of authority for individual and partnership firm,8
178,178,SECTIONS,adjudicate authority for individual and partnership firm,8
179,179,SECTIONS,civil court not to have jurisdiction,8
180,180,SECTIONS,appeal to debt recovery appellate tribunal,8
181,181,SECTIONS,appeal to supreme court,8
182,182,SECTIONS,expeditious disposal of a p plica ti ons chapter and penalty,8
183,183,SECTIONS,punishment for false information by creditor in insolvency resolution process,8
184,184,SECTIONS,punishment for contravention of provision,8
185,185,SECTIONS,punishment for false information concealment by bankrupt,8
186,186,SECTIONS,punishment for certain action spart of insolvency professional agency and information it he insolvency and bankruptcy board of,8
187,187,SECTIONS,establishment and incorporation of board,8
188,188,SECTIONS,constitution of board,8
189,189,SECTIONS,removal of member from office,8
190,190,SECTIONS,power of chair person,8
191,191,SECTIONS,meeting of board,8
192,192,SECTIONS,member not to participate in meeting in certain case,8
193,193,SECTIONS,vacancy not to invalidate proceeding of board officer and employee of board,8
194,194,SECTIONS,power to designate financial sector regulator chapter and function of the board,8
195,195,SECTIONS,power and function of section,8
196,196,SECTIONS,constitution of advisory committee executive committee or other committee,9
197,197,SECTIONS,condonation of delay chapter professional agency,9
198,198,SECTIONS,no person to function a insolvency professional agency without valid certificate of registration,9
199,199,SECTIONS,principle govern registration of insolvency professional agency,9
200,200,SECTIONS,registration of insolvency professional agency,9
201,201,SECTIONS,appeal to national company law appellate tribunal,9
202,202,SECTIONS,govern board of insolvency professional agency,9
203,203,SECTIONS,function of insolvency professional agency,9
204,204,SECTIONS,insolvency professional agency to make ivin solvency professional,9
205,205,SECTIONS,enrol and register person to act a insolvency professional,9
206,206,SECTIONS,registration of insolvency professional,9
207,207,SECTIONS,function and obligation of insolvency utility,9
208,208,SECTIONS,no person to function a information utility without certificate of registration,9
209,209,SECTIONS,registration of information utility,9
210,210,SECTIONS,appeal to national company law appellate tribunal,9
211,211,SECTIONS,govern board of information utility,9
212,212,SECTIONS,core service of information utility,9
213,213,SECTIONS,obligation of information utility,9
214,214,SECTIONS,procedure for submission of financial information,9
215,215,SECTIONS,right and obligation of person submit financial information chapter and investigation,9
216,216,SECTIONS,complaint against insolvency professional agency or it member or information utility,9
217,217,SECTIONS,investigation of insolvency professional agency or it member or information section,9
218,218,SECTIONS,show cause notice to insolvency professional agency or it member or information utility,10
219,219,SECTIONS,appointment of disciplinary committee chapter account and audit,10
220,220,SECTIONS,grant by central government,10
221,221,SECTIONS,board fund,10
222,222,SECTIONS,account and audit part v,10
223,223,SECTIONS,insolvency and bankruptcy fund,10
224,224,SECTIONS,power of central government to issue direction,10
225,225,SECTIONS,power of central government to supersede board,10
226,226,SECTIONS,power of central government to notify financial service provider,10
227,227,SECTIONS,budget,10
228,228,SECTIONS,annual report,10
229,229,SECTIONS,delegation,10
230,230,SECTIONS,bar of jurisdiction,10
231,231,SECTIONS,member officer and employee of board to the public servant,10
232,232,SECTIONS,protection of action take in good faith,10
233,233,SECTIONS,agreement with foreign country,10
234,234,SECTIONS,letter of request to a country outside in certain punishment where no specific penalty or punishment be provide,10
235,235,SECTIONS,trial of of fence by special court,10
236,236,SECTIONS,appeal and revision,10
237,237,SECTIONS,provision of this code to override other limitation,10
238,238,SECTIONS,power to make rule,10
239,239,SECTIONS,power to make application of this code to micro small and medium enterprise,10
240,240,SECTIONS,rule and regulation to be laid before section,10
241,241,SECTIONS,power to remove difficulty,11
242,242,SECTIONS,repeal of certain enactment and saving,11
243,243,SECTIONS,transitional provision,11
244,244,SECTIONS,amendment of act of,11
245,245,SECTIONS,amendment of act of,11
246,246,SECTIONS,amendment of act of,11
247,247,SECTIONS,amendment of act of,11
248,248,SECTIONS,amendment of act of,11
249,249,SECTIONS,amendment of act of,11
250,250,SECTIONS,amendment of act of,11
251,251,SECTIONS,amendment of act of,11
252,252,SECTIONS,amendment of act of,11
253,253,SECTIONS,amendment of act of,11
254,254,SECTIONS,amendment of act of first schedule the second schedule the third schedule the fourth schedule the fifth schedule the sixth schedule the seventh schedule the eighth schedule the ninth schedule the tenth schedule the eleventh schedule the twelfth the insolvency and bankruptcy code no of may act to consolidate and amend the law relate to re organ is at ion and insolvency resolution of corporate person partnership firm and individual in a time bound manner for maxim is at ion of value,11
255,255,SECTIONS,of asset of such person to promote entrepreneurship availability of credit and balance the interest of all the stakeholder include alteration in the order of priority of payment of government due and to establish an insolvency and bankruptcy board of and for matter connect therewith or incidental there tobe it enact by parliament in the sixty seventh year of the republic of a follow spart i,11
256,256,SECTIONS,short title extent and commencement this code may be call the insolvency and bankruptcy code it to the whole of in di a provided that part of this code shall not extend to the state of jam mu and it shall come into force on such a the central government may by notification in the official gazette appoint,12
257,257,SECTIONS,august notification no so date august s to see gazette of in di a extraordinary part sec august s subsection of subsection of section subsection and subsection of section s and notification no so date august see gazette of extraordinary part sec novem ber of,12
