,Unnamed: 0,Title,Paragraph Text,Page No
0,0,PRELIMINARY,short title extent and commencement this act may be call the protection of sexual of fence act it to the whole of except the state of jam mu and it shall come into force on such a the central government may by notification in the official gazette appoint,3
1,1,PRELIMINARY,definition in this act unless the context otherwise require a aggravate penetrative sexual assault have the same meaning a assign to it in section aggravate sexual assault have the same meaning a assign to it in section arm force or security force mean arm force of the union or security force or a specify in the schedule child mean any person below the age of eighteen ye arse domestic relationship shall have the same meaning a assign to it in clause f of section the protection of woman from domestic violence act of,3
2,2,PRELIMINARY,novem ber notification no so e date novem ber see gazette of extraordinary sec f penetrative sexual assault have the same meaning a assign to it in section mean by rule make under this a c th religious institution shall have the same meaning a assign to it in the prevention of misuse act of sexual assault have the same meaning a assign to it in section sexual harassment have the,3
3,3,PRELIMINARY,same meaning a assign to it in section share household mean a household where the person charge with the of fence life or at any time in a domestic relationship with the special court mean a court designate a such under section special public prosecutor mean a public prosecutor appoint under section the word and expression use herein and not define but define in the in dian penal of the code of criminal procedure of juvenile justice care and,3
4,4,PRELIMINARY,protection of child act of and the information technology act of shall have the meaning respectively assign to them in the say code or the of fence against child re na penetrative sexual assault and punishment therefor,3
5,5,PRELIMINARY,penetrative sexual assault a person be say to commit penetrative sexual assault he his penis to any extent into the vagina mouth urethra or anus of a child the child to do so with him or any other person orb he insert to any extent any object or a part of the body not be the penis into the vagina the urethra or anus of the child or make the child to do so with him or any other person orc he mani pul ates any part of the body of the child so a to cause penetration into the vagina urethra anus,4
6,6,PRELIMINARY,or any part of body of the child or make the child to do so with him or any other person he a p plies his mouth to the penis vagina anus urethra of the child or make the child to do so to such person or any other person,4
7,7,PRELIMINARY,punishment for penetrative sexual assault whoever penetrative sexual assault shall be punish with imprisonment of either description for a term which shall not be less than seven which may extend to imprisonment for life and shall also be liable to fine ba penetrative sexual assault and punishment therefor,4
8,8,PRELIMINARY,aggravate penetrative sexual assault a whoever be a police officer sexual assault on a child i within the limit of the police station or premise at which he be appoint in the premise of any station house whether or not situate in the police station to which he is appoint in the course of his duty or otherwise where he be know a or identify a a police officer orb whoever be a member of the arm force or security force penetrative sexual assault on a,4
9,9,PRELIMINARY,child i within the limit of the area to which the person be in any area under the command of the force or arm force in the course of his duty or otherwise where the say person be know or identify a a member of the security or arm force c whoever be a public servant penetrative sexual assault on a child whoever be on the management or on the staff of a jail remand home protection home observation home or other place of custody or care and protection establish,4
10,10,PRELIMINARY,by or under any law for the time be in force penetrative sexual assault on a child be inmate of such jail remand home protection home observation home or other place of custody or care and protection ore whoever be on the management or staff of a hospital whether government or private sexual assault on a child in that hospital orf whoever be on the management or staff of an educational institution or religious penetrative sexual assault on a child in that institution,4
11,11,PRELIMINARY,whoever gang penetrative sexual assault on a child explanation when a child be subject to sexual assault by one or more person of a group in furtherance of their common intention each of such person shall be deem to have commit gang penetrative sexual assault within the meaning of this clause and each of such person shall be liable for tha tact in the same manner a if it be do by him alone whoever penetrative sexual assault on a child use deadly weapon fire he a ted substance or corrosive,4
12,12,PRELIMINARY,substance whoever penetrative sexual assault cause grievous hurt or cause bodily harm and injury or injury to the sexual organ of the child whoever penetrative sexual assault on a child physically in ca pa cit ates the child or cause the child to become mentally ill a define under clause b of section of the mental health act of or cause impairment of any kind so a to render the child unable to perform regular task temporarily or permanently in the case of female child,4
13,13,PRELIMINARY,make the child pregnant a a consequence of sexual the child with human virus or any other life threaten disease or infection which may either temporarily or permanently impair the child by render him physically incapacitate or mentally ill to perform regular task whoever take advantage of a child mental or physical disability penetrative sexual assault on the child whoever penetrative sexual assault on the child more than once or repeatedly whoever,4
14,14,PRELIMINARY,penetrative sexual assault on a child below twelve year whoever be a relative of the child through blood or adoption or marriage or guardianship or in foster care or have a domestic relationship with a parent of the child or who be living in the same or sh ared household with the child penetrative sexual assault on such child whoever be in the ownership or management or staff of any institution provide service to the child penetrative sexual assault on the child whoever be in a,4
15,15,PRELIMINARY,position of trust or authority of a child penetrative sexual assault on the child in an institution or home of the child or anywhere else whoever penetrative sexual assault on a child know the child be pregnant whoever penetrative sexual assault on a child and attempt to murder the child or whoever penetrative sexual assault on a child in the course of communal or sectarian violence ort whoever penetrative sexual assault on a child and who have be previously convict,4
16,16,PRELIMINARY,commit any of fence under this act or any sexual of fence punishable under any other law for the time be in force u whoever penetrative sexual assault on a child and make the child to strip or parade naked in public is say to commit aggravate penetrative sexual assault,4
17,17,PRELIMINARY,punishment for aggravate penetrative sexual assault whoever sexual assault shall be punish with rigorous imprisonment for a term which shall not be less than ten year but which may extend to imprisonment for life and shall also be liable to s assault and punishment therefor,6
18,18,PRELIMINARY,sexual assault whoever with sexual intent touch the vagina penis anus or breast of the chil dor make the child touch the vagina penis anus or breast of such person or any other person or do any other act with sexual intent which physical contact without penetration be say to commit sexual assault,6
