,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title and commencement,1
1,1,SECTIONS,de fi ni ti ons chapter of the tribunal,1
2,2,SECTIONS,establishment of tribunal,1
3,3,SECTIONS,composition of tribunal,1
4,4,SECTIONS,qualification for appointment of chair person judicial member and expert member,1
5,5,SECTIONS,appointment of chair person judicial member and expert member,1
6,6,SECTIONS,term of office and other condition of service of chair person judicial member and expert member,1
7,7,SECTIONS,resignation,1
8,8,SECTIONS,salary allowance and other term and condition of service,1
9,9,SECTIONS,removal and suspension of chair person judicial member and expert qualification term and condition of service of chair person judicial member and expert member,1
10,10,SECTIONS,to act a chair person of tribunal or to discharge his function in certain circumstance,1
11,11,SECTIONS,staff of tribunal,1
12,12,SECTIONS,financial and administrative power of chair person chapter power s and proceeding of the tribunal,1
13,13,SECTIONS,tribunal to settle dispute,1
14,14,SECTIONS,relief compensation and restitution,1
15,15,SECTIONS,tribunal to have appellate jurisdiction,1
16,16,SECTIONS,liability to pay relief or compensation in certain case,1
17,17,SECTIONS,application or appeal to tribunal,1
18,18,SECTIONS,procedure and power of tribunal,1
19,19,SECTIONS,tribunal to apply certain principle,1
20,20,SECTIONS,decision to be take by majority,1
21,21,SECTIONS,appeal to supreme court,1
22,22,SECTIONS,cost,1
23,23,SECTIONS,deposit of amount payable for damage to environment,1
24,24,SECTIONS,execution of award or order or decision of tribunal chapter,1
25,25,SECTIONS,penalty for failure to comply with order of tribunal,1
26,26,SECTIONS,of fence by company,1
27,27,SECTIONS,of fence by government v,1
28,28,SECTIONS,bar of jurisdiction,2
29,29,SECTIONS,cognizance of of fence,2
30,30,SECTIONS,member and staff of tribunal to be public servant,2
31,31,SECTIONS,protection of action take in good faith,2
32,32,SECTIONS,act to have override effect,2
33,33,SECTIONS,power to amend schedule i,2
34,34,SECTIONS,power to make rule,2
35,35,SECTIONS,amendment of certain enactment,2
36,36,SECTIONS,power to remove difficulty,2
37,37,SECTIONS,repeal and i schedule schedule national green tribunal act no of june act to provide for the establishment of a national green tribunal for the effective and expeditious disposal of case relate to environmental protection and conservation of forest sand other natural resource include enforcement of any legal right relate to environment and give relief and compensation for damage to person and property and for therewith or incidental thereto and,2
