,Unnamed: 0,Title,Paragraph Text,Page No
0,0,,short title and commencement act may be call the specify bank not es cessation of liability act it shall be deem to have come into force on the day of,2
1,1,,definition this act unless the context otherwise require sa appoint day mean the day of grace period mean the period to be specify by the central government by notification during which the specify bank note can be deposit in accordance with this mean a notification publish in the official gazette reserve bank mean the reserve bank of constitute by the central government under section of the reserve bank of act of,2
2,2,,bank note mean a bank note of the denominational value of five hundred one thousand rupee of the series exist on or before the day of novem ber word and expression use and not define in this act but define in the reserve bank act of or the banking regulation act of shall have the assign to them in those act,2
3,3,,specify bank note to cease to be liability of reserve bank or central government on and from the appoint day notwithstanding anything contain in the reserve bank of act of or any other law for the time be in force the specify bank note which have cease to be legal tender in view of the notification of the government of in the ministry of finance number date the novem ber issue under subsection section of the reserve bank act shall cease to be,2
4,4,,liability of the reserve bank under section and shall cease to have the guarantee of the central government under subsection section of the say of specify bank note notwithstanding anything contain in section the following person hold specify bank note on or before the day of novem ber shall be en titled to tender within the grace period with such declaration or statement at such office of the reserve bank or in such other manner a may be specify by it a citizen of,2
5,5,,who make a declaration that he be outside between the to subject to such condition a may be specify by notification by the central government such class of person and for such reason a may be specify by notification by the central the reserve bank may if satisfied after make such verification a it may consider necessary that thereas ons for failure to deposit the note within the period specify in the notification refer to in section are genuine,2
6,6,,credit the value of the note in his know your customer compliant bank account in such manner as may be specify by any person aggrieve by the refusal of the reserve bank to credit the value of the note under subsection make a representation to the central board of the reserve bank within fourteen days of the communication of such refusal to explanation for the purpose of this section the expression know your customer compliant bank account mean the account which with the condition specify in the regulation make by the reserve bank under the banking regulation act of,2
7,7,,prohibition on hold transfer or receive specify bank note on and from the a p pointed day no person shall knowingly or voluntarily hold transfer or receive any specify bank note provided that nothing contain in this section shall prohibit the hold of specify bank note sa by any per so ni up to the expiry of the grace period after the expiry of the grace peri oda not more than ten note in total irrespective of the denomination orb not more than twenty five note for the purpose of study research or,3
8,8,,by the reserve bank or it agency or any other person a ut ho rise by the reserve by any person on the direction of a court in relation to any case pending in the by the law enforcement agency such a the central board of direct tax central board of indirect tax and enforcement directorate on production of the document author is ing such seizure or confiscation a the case may be,3
9,9,,penalty for contravention of section whoever knowingly and make any declaration or statement specify under subsection of section which be false in or om its to make a material statement or make a statement which he do not believe to be true shall be punishable with fine which may extend to fifty thousand rupee or five time the amount of the face value of the specify bank note tender whichever be high,3
10,10,,penalty for contravention of section whoever the provision of section shall be punishable with fine which may extend to ten thousand rupee or five time the amount of the face value of the specify bank note involve in the contravention whichever be high,3
11,11,,of fence by company where a person commit a contravention or default refer to insection or section be a company every person who at the time the contravention or default was commit ted be in charge of and be responsible to the company for the conduct of the business of the company a well a the company shall be deem to be guilty of the contravention or default and shall be liable to be proceed against and punish accordingly provided that nothing contain in this subsection shall render any such person liable,3
12,12,,to punishment if he prof that the contravention or default be commit without his knowledge or that he have due diligence to prevent the contravention or anything contain in subsection where an of fence under this act have been commit ted by a company and it be prove that the same be commit with the consent or connivance of or be attributable to any neglect on the part of any director manager secretary or other officer or employee of the company such director manager secretary other,3
13,13,,officer or employee shall also to be guilty of the of fence and shall be liable to be proceed against and punish accordingly explanation for the purpose of this sec ti ona a company mean any body corporate and include a firm a trust a society and other association of director in relation to a firm or trust mean a partner in the firm or a beneficiary in the trust,3
14,14,,in by notification no so date august special provision relate to of fence notwithstanding anything contain in section the code of criminal procedure of the court of a magistrate of the first class or the court of a metropolitan magistrate may impose a fine for contravention of the provision of this act,3
15,15,,protection of action take in good faith no suit prosecution or other legal proceed shall lie against the government the reserve bank or any of their officer for anything do or intend tobe do in good faith under this act,4
16,16,,power to make rule the central government may by notification make rule for carrying out the provision of this every rule make under this act shall be laid a soon a may be after it be make before each house of parliament while it be in session for a total period of thirty day which may be comprise in one session or in two or more successive session and if before the expiry of the session immediately follow the session or the successive session aforesaid both house agree in make any modification in the rule,4
17,17,,or both house agree that the rule should not be make the rule shall thereafter have effect only in form or be of no effect a the case may be so however that any such modification or annulment shall be without prejudice to the validity of anything previously do under that rule,4
18,18,,power to remove difficulty any difficulty ar is es in give effect to the provision of this act the central government may by order publish in the official gazette make such provision snot inconsistent with the provision of this act a may appear to it to be necessary or expedient for removing the difficulty provided that no such order shall be make under this section after the expiry of a period of two the date of commencement of this order make under this section shall a soon a may be after it be make be laid before each house of parliament,4
19,19,,repeal and saving specify bank note cessation of liability ordinance of be hereby notwithstanding such repeal anything do or any action take under the say ordinance shall be deem to have be do or take under the correspond provision of this act,4
