,Unnamed: 0,Title,Paragraph Text,Page No
0,0,,short title and commencement this act may be call the in dian institute of petroleum and energy act it shall come into force on such a the central government may by notification in the official gazette appoint and different date may be appoint for different provision of this act,2
1,1,,declaration of institute of petroleum and energy a an institution of national importance whereas the object of the institution know a the in dian institute of petroleum and energy vis hak ha pat nam be such a to make the institution one of national importance it be hereby declare that the institution know a the in dian institute of petroleum and energy be an institution of national importance,2
2,2,,definition in this act unless the context otherwise require sa appoint day mean the date appoint under subsection of section for coming into force of this board mean the board of governor of the institute constitute under subsection of section chair person mean the chair person of the general director mean the director of the institute appoint under section fund mean the fund of the institute to be maintain under section general council mean the general,2
3,3,,council constitute under subsection of section institute mean the in dian institute of petroleum and energy incorporate under section president mean the president of the board appoint under clause a of subsection section registrar mean the registrar of the institute refer to in section senate mean the senate of the institute refer to in section society mean the in dian institute of petroleum and energy society register under the,2
4,4,,society registration act act of statute and ordinance mean respectively the statute and the ordinance of the institute make under this act,2
5,5,,incorporation of institute the in dian institute of petroleum and energy an institution register under the society registration act be a body corporate have perpetual succession and a common seal with power subject to of this act to acquire hold and dispose of property and to contract and shall by that name sue and be sue,2
6,6,,notification no so date see gazette of extraordinary part sec constitution of board of governor with effect from such date a the central government may by notification in the official gazette appoint there shall be constitute by the central government for the purpose of this act a board to be know a the board of of the follow member na mel ya the president to be appoint by the central government in such manner a may,2
7,7,,be provided by the st a tut es provided that the first president shall be appoint by the central government on such term and con di ti ons a it fit for a period not exceed six month from the date the first statute comes into the director of the institute ex c two person from the board of director of the promote company to be nominate by the central government explanation for the purpose of this clause promote company mean those to the endowment fund refer to in section,2
8,8,,one professor of the in dian institute of science ban galore to be nominate by the director of that five eminent expert in the field of petroleum technology renewable and nonrenewable energy covering the entire hydrocarbon value chain have knowledge or operational experience in respect of education research engineering and technology to be nominate by the general council in consultation with the director of the institute f two professor of the institute to be nominate by the senate of the institute,2
9,9,,one representative of the graduate of the institute to be nominate by the executive committee of the alumnus the registrar of the institute shall act a the secretary of the the board shall ordinarily meet four time during a calendar year,2
10,10,,term of office of vacancy among and allowance payable to member of board a otherwise provide in this section the term of office of the president or any other member of the board other than ex member shall be three year from the date of his appointment or nomination an ex member shall cease to be a member of the board a soon a he the office by virtue of which he be a member of the the term of a member nominate to fill a casual vacancy shall continue for the remainder of the,3
11,11,,term of the member in whose place he have be notwithstanding anything contain in this section an outgo member shall unless the central government otherwise continue in office until another person be nominate a a member in his the member of the board shall be entitle to such allowance if any from the institute as may be provide for in the statute but no member other than the member refer to in clause f of section shall be entitle to any salary,3
12,12,,vest of property on and from the appoint day and subject to the other provision of this act all property which have in the society immediately before that day shall on and from that day vest in the institute,3
13,13,,effect of incorporation of institute on and from the appoint da ya any reference to the society in any contract or other instrument shall be deem a a reference to the all the right and liability of the society shall be transfer to and be the right of the function of institute the institute shall perform the follow function nurture and promote quality and excellence in education and research in the area of petroleum and hydrocarbon and provide for,3
14,14,,pro gramme and course of instruction and research lead to the award of the bache lors master and doctoral degree in engineering and technology management science sand art in the area of petroleum and hydrocarbon and grant subject to such condition a the institute may determine degree diploma other academic distinction or title at various academic level to candidate who have attain standard of proficiency a jud ged on the basis of examination or on any other basis of testing and,3
15,15,,evaluation and to withdraw any such degree diploma certificate or other or title for good and sufficient honorary degree or other distinction and to institute and award exhibition prize and lay down standard of admission to the institute through an examination or any other method of test and manage the content quality design and continuous evaluation of it academic and in a manner that accreditation of an,3
16,16,,international promote research and development for the benefit of oil gas and petrochemical industry and the energy sector through the integration of teach and foster close educational and research interaction through net working with national regional and international player in the oil gas and petrochemical industry and the energy sec to rix cooper ate with educational and research institution in any part of the world have or partly similar to those of the institute by exchange of teacher,3
17,17,,and scholar conduct of joint research undertaking sponsor research and project or ga ni se national and international symposium seminar and conference in the area of petroleum and hydrocarbon and energy xi establish maintain and manage hall residence and hostel for student and to lay down con di ti ons for reside in the hall and supervise control and regulate the discipline of all category of employee of the institute and to make arrangement for promote their health and general,3
18,18,,supervise and regulate the discipline of student and to make arrangement for pro mo ting their health general welfare and cultural and corporate frame statute and to alter modify or rescind the deal with any property belonging to or in the institute in such manner a the institute may deem fit for advance it receive gift grant donation or benefaction from the central government and the and to receive bequest donation grant and transfer of movable or,3
19,19,,immovable proper ti es from testator donor transferor alumnus industry or any other borrow money for the purpose of the institute with or without security of the property of the integrate new technology in the classroom to encourage student centric learning strategi es and the development of an attitude for develop and maintain an information resource cent re of print and non print in the field of petroleum sector cover the entire hydrocarbon value chain a well a,3
20,20,,other related area of energy science and provide for far education to the work professional and other employee of the institute in the advanced area of technology relate to oil gas complete hydrocarbon value chain and offering pro gramme that serve the current and ongoing need of for continue education at the cutting edge of petroleum and energy sector at the campus of the institute or at company encourage industry to sponsor their staff to join the,3
21,21,,institute for high degree and work on problem that interest the sponsor industry thus help develop dee per interaction sand a research environment in the foster the creation of new basic knowledge and apply technology and it active transmission to company for the benefit of the nation and for this purpose establish an intellectual property right cell to patent the new development make at the institute and to license them nationally and be pro active in support the skill development,3
22,22,,pro gramme of the government by training people in various related area by way of certificate and diploma course at the campus of the institute or at other location and involve industry in design and conduct give broad focus to the function of the institute in the area of petroleum and petroleum related technology under the wide umbrella of energy do all such thing not specifically cover above a may be necessary incidental or conducive to the attainment of all or any of the object of the institute,3
23,23,,power of board subject to the provision of this act the board shall be responsible for the general superintendence direction and control of the affair of the institute and shall exercise all the power not otherwise provide for by this act the statute and the ordinance and shall have the power to review the act of the without prejudice to the provision of subsection the board sh al la take decision on question of policy relate to the administration and work of lay down policy,5
24,24,,regard the duration of the course nomenclature of the degree and other distinction to be by the institute course of study and to lay down standard of proficiency and other in respect of the course offer by the institute lay down policy regard the cadre structure qualification the method of recruitment and con di ti ons of service of the teach and research faculty a well a other employee of guide resource of the institute and to lay down policy,5
25,25,,for consider and approve proposal for take loan for purpose of the institute with or without security of the property of the frame statute and to alter modify or rescind the sam eh consider and resolution on the annual report the annual account and the budge te stim ates of the institute for the next financial year a it think fit together with a statement of its development plan si create academic administrative technical and other post and to make appointment thereto and to provide avenue for,5
26,26,,their growth and examine and approve the development plan of the institute and the financial implication of such examine and approve the annual operation and capital budget estimate of institute for the next financial year and to sanction expenditure within the limit of the approve receive gift grant bequest donation or benefaction and transfer of movable or immovable property from the central government and the state government and from or transferor a the case may be,5
27,27,,and to have custody of the fund of the in st it ut em fix demand and receive fee and other n to sue and defend all legal proceeding on behalf of the institute an do do all such thing a may be necessary incidental or conducive to the attainment of all or any of the aforesaid the board shall have the power to appoint such committee a it necessary for the exercise of it power and the performance of it duty under this the board shall have the power to establish campus and academic cent re at,5
28,28,,any place within or outside in di a provided that no campus or academic cent re shall be establish outside without the prior approval of the central notwithstanding anything contain in section the board shall not dispose of in any manner any immovable property of the institute without prior approval of the central the board may through a specific resolution to this effect delegate any of it power to the president director any officer or any authority of the institute subject to reserve the right to review the action that may be take under such delegate authority,5
29,29,,institute to be open to all race creed and class the institute shall be open toper sons of either sex and of whatever race creed caste or class and no test or condition shall a to religious belief or profession in admit student appoint teacher or employee or in any other connection no bequest donation or transfer of any property shall be accepted by the institute which in the opinion of the board condition or obligation oppose to the spirit and object of this section,6
30,30,,teach at the institute all teach and other academic activity at the institute shall be con ducted by or in the name of the institute in accordance with the statute and the ordinance made in this behalf,6
31,31,,visitor the president of shall be the visitor of the the visitor may appoint one or more person to review the work and progress of the institute and to hold inquiry into the affair thereof and to report thereon in such manner a the visitor upon receipt of any such report the visitor may take such action and issue such direction a she necessary in respect of any of the matter dealt with in the report and the institute shall be bound to comply with such direction,6
32,32,,authority of institute the follow shall be the authority of the institute na mel ya the general the board of the senate such other authority a may be declare by the statute to be the authority of the institute,6
33,33,,constitution of general council with effect from such date a the central government may by notification in the official gazette appoint there shall be constitute for the purpose of this act a body to be know a the general the general council shall consist of the follow member na mel ya the secretary ministry of petroleum and natural gas in the central government ex who shall be the the chairman in dian oil corporation limited ex c the chairman and manage director,6
34,34,,hin dust an petroleum corporation limited ex d the chairman and manage director oil and natural gas corporation ex e the chairman and manage director gas authority of limited ex f the director general of hydrocarbon ex g the principal advisor energy ni ti ex h the executive director oil industry safety directorate ex i the director in dian institute of science ban galore ex j the director in dian institute of chemical technology,6
35,35,,ex secretary oil industry development board ex l the president of the board ex m the director of the institute ex person not less than two but not exceed four represent the private entity in the field of petroleum sector operating in the country to be nominate by the the registrar of the institute shall be the ex secretary of the general the chair person shall have the power to invite any person who be not a member of the general council to attend it meeting but such invitee shall not be entitle to vote,6
36,36,,power and function of general council subject to the provision of this act the general council shall have the follow power and function na mel ya review from time to time the broad policy and pro gramme of the institute and to suggest me a sures for the improvement development and expansion of the institute consider the annual statement of account include a balance sheet together with the audit report thereto and the observation of the board of governor thereon and to suggest improvement in fiscal management of,7
37,37,,the review and evaluate overall quality and effectiveness of the institute and to advise me a sures for improvement of performance and for confidence building between the institute and provide credibility aura connectivity and contact for the institute especially with regard to student placement and resource advise the institute and it board in respect to new cut edge area of technology in the domain of energy and hydrocarbon development include oil gas renewable and,7
38,38,,nonrenewable energy that the institute need to pursue a well a in respect of any other matter refer toit by the board for advice advise the institute and it board in respect of the advanced area of technology in the field of petroleum sector cover the entire hydrocarbon value chain a well a in respect of any other matter that may be refer to it for advice by the board,7
39,39,,senate the senate of the institute shall be the principal academic body and its composition shall be such a may be provide by the statute,7
40,40,,function of senate subject to the provision of this act the statute and the ordinance st he senate shall have the control and general regulation and be responsible for the maintenance of instruction education and examination in the institute and shall exercise such other pow ers and perform such other duty a may be or impose upon it by the statute,7
41,41,,president of board the president shall ordinarily preside at the meeting of the boar dand at the convocation of the it shall be the duty of the president to ensure that the decision take by the board the president shall exercise such other power and perform such other duty a may be assigned to him by this act or the director the director of the institute shall be appoint by the central government in such manner and on such term and condition a may be provide by the,7
