,Unnamed: 0,Title,Paragraph Text,Page No
0,0,SECTIONS,short title and commencement,1
1,1,SECTIONS,definition,1
2,2,SECTIONS,reservation of post in recruitment by educational institution,1
3,3,SECTIONS,act not to apply in certain case,1
4,4,SECTIONS,lay of notification before parliament,1
5,5,SECTIONS,repeal and central educational institution reservation in teacher cadre act no of act to provide for the reservation of post in appointment by direct recruitment of person belonging to the schedule caste the schedule tribe the socially and educationally backward classes and the economically weak er section to teacher cadre in certain al establish maintain or aid by the central government and for matter connected therewith or incidental thereto be it enact by parliament in the seventieth year of the republic of a follow,1
6,6,SECTIONS,short title and commencement this act may be call the central educational in teacher cadre act it shall be deem to have come into force on the day of march,2
7,7,SECTIONS,definition in this act unless the context otherwise require sa appropriate authority mean the university grant commission establish under the university grant commission act of or any other authority or body establish by or under a central act for the determination or maintenance of the standard of high er education in any central educational branch of study mean a branch of study lead to three principal level of qualification at bache lors under,2
8,8,SECTIONS,graduate master post graduate and doctoral central educational institution mean si a university establish or incorporate by or under a central an institution of national importance establish by an act of an institution declare a an institution deem to be university under section of the university grant commission act of and maintain by or receive aid from the central an institution maintain by or receive aid from the central,2
9,9,SECTIONS,government whether directly or indirectly and affiliate to an institution refer to in sub clause i or sub clause os constituent unit of an institution refer to in sub clause an educational institution establish by the central government under the soc ie ti es registration act of d direct recruitment mean the process of appoint faculty by invite application against public advertisement from person eligible to teach in a central educational in st it ut io ne,2
10,10,SECTIONS,economically weak er section mean such weak er section a be refer to in explanation to clause of article of the faculty mean the faculty of a central educational minority educational institution mean an institution es tab li shed and administer by the mi nori ti es under clause of article of the constitution and so declare by an act of parliament or by the central government or declare a a minority educational institution under the national commission for minority,2
11,11,SECTIONS,educational institution act of h sanction strength mean the number of post in teacher cadre approve by the schedule caste mean the schedule caste notify under article of the schedule tribe mean the schedule tribe notify under article of the socially and educationally backward class mean such backward class a be so de eme dunder article of the teacher cadre mean a,2
12,12,SECTIONS,class of all the teacher s of a central educational institution regardless of the branch of study or faculty who be remunerate at the same grade of pay excluding any allowance or bonus,2
13,13,SECTIONS,reservation of post in recruitment by educational institution anything in any other law for the time be in force there shall be reservation of post sin direct recruitment out of the sanction strength in teacher cadre in a central educational institution to the extent and in the manner a may be specify by the central government by notification in the official for the purpose of on of post a central educational institution shall be regard a one unit,3
14,14,SECTIONS,act not to apply in certain case the provision of section shall not apply toa the institution of excellence research institution institution of national and strategic importance specify in the schedule to this a minority educational the central government may by notification in the official gazette amend the schedule refer red to in clause a of sub section from time to time,3
15,15,SECTIONS,lay of notification before parliament every notification make by the central government under this act shall be laid a soon a may be after it be make before each house of parliament while it is in session for a total period of thirty day which may be comprise in one session or in two or more successive sessions and if before the expiry of the session immediately follow the session or the successive sessions aforesaid both house agree in make any modification in the notification or both house agree that,3
16,16,SECTIONS,the notification should not be make the notification shall thereafter have effect only in such or be of no effect a the case may be so however that any such modification or annulment shall be without prejudice to the v of anything previously do under that notification,3
17,17,SECTIONS,repeal and saving the central educational institution reservation in teach ers cadre ordinance of be hereby notwithstanding such repeal anything do or any action take under the say ordinance shall to have be do or take under this act,3
