,Unnamed: 0,Title,Paragraph Text,Page No
0,0,PRELIMINARY,short title and commencement this act may be call the in dian institute of management act it shall come into force on such date a the central government may by notification in the official gazette appoint and different may be appoint for different provision of this act,3
1,1,PRELIMINARY,declaration of certain institution a institution of national importance whereas the object of the in st it ut es mention in the schedule be such a to make them institution of national importance it is hereby declare that each such institute be an institution of national importance,3
2,2,PRELIMINARY,definition in this act unless the context otherwise require sa academic council mean the academic council refer to in section board in relation to any institute mean the board of governor refer to in subsection of section chair person mean the chair person of the board of governor of the institute appointe dunder clause a of subsection of section forum mean the forum establish under section correspond institute in relation to an institute,3
3,3,PRELIMINARY,mention in column of the an institute a specify against the say institute in column director mean the director of the institute appoint under subsection of section exist institute mean any institute mention in column of the institute mean any institute mention in column of the notification mean a notification publish in the official gazette and the expression notify with it cognate meaning and grammatical variation shall be construe,3
4,4,PRELIMINARY,ordinance mean ordinance make by the academic council under this mean by rule make under this regulation mean regulation make by the schedule mean the schedule to this society mean any of the society register under the society registration act of or the my sore society registration act of or the registration act of or the ta mil society registration act of or the jam mu and ka sh mir society registration act of mention in column of the schedule,3
5,5,PRELIMINARY,notification no so date see gazette of extraordinary part chapter institute,3
6,6,PRELIMINARY,incorporation of institute on and from the commencement of this act every exist ing institute shall be a body corporate by the same name a mention in column of the every institute refer to in column of the schedule shall have perpetual succession and a common seal with power subject to the provision of this act to acquire hold and dispose of property both movable and immovable and to contract and shall by the say name sue or be sue,4
7,7,PRELIMINARY,effect of incorporation of institute on and from the commencement of this acta any reference to an exist institute in any contract or other instrument shall be deem a a reference to the correspond all property movable and immovable of or belonging to every exist institute shall vest in the correspond all right and debt and other liability of every exist institute shall be transfer to and be the right and liability of the correspond institute every person employ by,4
8,8,PRELIMINARY,every exist institute immediately before such commencement shall hold his office or service in the correspond institute with the same tenure at the same remuneration and upon the same term and condition and with the same right and privilege a to pension leave gratuity provident fund and other matter a he would have have this act not been en a c ted and shall continue to do so unless and until his employment be terminate or until such tenure remuneration and term and condition be duly alter by regula ti ons provided that if,4
9,9,PRELIMINARY,the alteration so make be not acceptable to such employee his employment may be termin a ted by the institute in accordance with the term of the contract with the employee or if no provision is make therein in this behalf on payment to him by the institute of a compensation equivalent to remuneration in case of permanent employee and one month remuneration in the case of other employee provided far that any reference by whatever form of word to the director and other officer of an exist institute under any law for,4
